Australophocaena dioptrica,1.86
Balaena mysticetus,18
Balaenoptera acutorostrata,10.7
Balaenoptera borealis,16.09
Balaenoptera edeni,15.4
Balaenoptera musculus,33.58
Balaenoptera physalus,21.2
Berardius arnuxii,8.85
Berardius bairdii,12
Caperea marginata,6.21
Cephalorhynchus commersonii,1.46
Cephalorhynchus heavisidii,1.69
Cephalorhynchus hectori,1.53
Delphinapterus leucas,3.81
Delphinus delphis,2.3
Eschrichtius robustus,14.63
Eubalaena australis,13.85
Eubalaena glacialis,13.7
Feresa attenuata,2.43
Globicephala macrorhynchus,4.79
Globicephala melas,5.12
Grampus griseus,3.66
Hyperoodon ampullatus,7.92
Hyperoodon planifrons,7.45
Indopacetus pacificus,7.25
Inia geoffrensis,1.98
Inia bolivensis,1.98
Kogia breviceps,3.4
Kogia simus,2.43
Lagenodelphis hosei,2.64
Lagenorhynchus acutus,2.43
Lagenorhynchus albirostris,3.05
Lagenorhynchus australis,2.1
Lagenorhynchus cruciger,1.83
Lagenorhynchus obliquidens,2.36
Lagenorhynchus obscurus,1.93
Lissodelphis borealis,2.27
Lissodelphis peronii,2.97
Megaptera novaeangliae,17.98
Mesoplodon bidens,5.05
Mesoplodon bowdoini,4.47
Mesoplodon carlhubbsi,5.32
Mesoplodon densirostris,4.71
Mesoplodon europaeus,5.2
Mesoplodon ginkgodens,4.9
Mesoplodon grayi,5.33
Mesoplodon hectori,4.43
Mesoplodon layardii,6.15
Mesoplodon mirus,5.14
Mesoplodon peruvianus,3.52
Mesoplodon stejnegeri,5.67
Monodon monoceros,4.27
Neophocaena phocaenoides,1.41
Orcaella brevirostris,2.21
Orcinus orca,7.92
Peponocephala electra,2.57
Phocoena phocoena,1.86
Phocoena sinus,1.14
Phocoena spinipinnis,1.67
Phocoenoides dalli,1.94
Physeter catodon,11.03
Platanista gangetica,2.52
Platanista minor,2.52
Pontoporia blainvillei,1.49
Pseudorca crassidens,5.06
Sotalia fluviatilis,1.49
Sousa chinensis,2.44
Sousa teuszii,2.35
Stenella attenuata,2.11
Stenella clymene,1.88
Stenella coeruleoalba,2.3
Stenella frontalis,2.13
Stenella longirostris,1.96
Steno bredanensis,2.55
Tasmacetus shepherdi,6.5
Tursiops truncatus,2.37
Ziphius cavirostris,6.37
