species,log_svl_mm,repro_mode
Amphisbaena_alba,6.697034,Oviparous
Amphisbaena_angustifrons,5.843544,Oviparous
Amphisbaena_brasiliana,5.758902,Oviparous
Amphisbaena_caeca,5.673323,Oviparous
Amphisbaena_cuiabana,5.755742,Oviparous
Amphisbaena_darwini,5.886104,Oviparous
Amphisbaena_dubia,5.620401,Oviparous
Amphisbaena_fuliginosa,6.251904,Oviparous
Amphisbaena_heathi,4.912655,Oviparous
Amphisbaena_innocens,5.590987,Oviparous
Amphisbaena_kingii,5.488938,Oviparous
Amphisbaena_manni,5.356586,Oviparous
Amphisbaena_mertensii,6.126869,Oviparous
Amphisbaena_munoai,5.147494,Oviparous
Amphisbaena_nigricauda,5.123964,Oviparous
Amphisbaena_roberti,5.590987,Oviparous
Amphisbaena_slevini,4.787492,Oviparous
Amphisbaena_vanzolinii,5.030438,Oviparous
Amphisbaena_vermicularis,5.783825,Oviparous
Ancylocranium_barkeri,5.501258,Oviparous
Ancylocranium_ionidesi,5.793014,Oviparous
Bipes_biporus,5.480639,Oviparous
Bipes_canaliculatus,5.480639,Oviparous
Bipes_tridactylus,5.075174,Oviparous
Blanus_cinereus,5.537334,Oviparous
Blanus_mettetali,5.347108,Oviparous
Blanus_strauchi,5.356586,Oviparous
Blanus_tingitanus,5.459586,Oviparous
NA,5.347108,Oviparous
Cadea_blanoides,5.560682,Oviparous
Chirindia_ewerbecki,5.030438,Oviparous
Chirindia_langi,5.062595,Oviparous
Chirindia_mpwapwaensis,5.164786,Oviparous
Chirindia_rondoensis,4.859812,Oviparous
Chirindia_swynnertoni,5.075174,Oviparous
Cynisca_feae,5.123964,Oviparous
Cynisca_kraussi,5.075174,Oviparous
Cynisca_leonina,5.043425,Oviparous
Cynisca_leucura,5.552960,Oviparous
Cynisca_oligopholis,4.990433,Oviparous
Cynisca_senegalensis,5.117994,Oviparous
Dalophia_ellenbergeri,6.040255,Oviparous
Dalophia_longicauda,6.253829,Oviparous
Dalophia_pistillum,6.327937,Oviparous
Diplometopon_zarudnyi,5.463832,Oviparous
Geocalamus_acutus,5.513429,Oviparous
Amphisbaena_infraorbitale,6.453625,Oviparous
Amphisbaena_microcephalum,6.309918,Oviparous
Amphisbaena_polystegum,6.152945,Oviparous
Loveridgea_ionidesii,5.214936,Viviparous
Mesobaena_rhachicephala,5.533389,Oviparous
Monopeltis_adercae,6.234411,Oviparous
Monopeltis_anchietae,5.843544,Viviparous
Monopeltis_capensis,5.828946,Viviparous
Monopeltis_galeata,6.144186,Oviparous
Monopeltis_remaclei,6.363028,Oviparous
Monopeltis_sphenorhynchus,5.899897,Viviparous
Rhineura_floridana,5.940171,Oviparous
Trogonophis_wiegmanni,5.480639,Viviparous
Zygaspis_kafuensis,5.393628,Oviparous
Zygaspis_nigra,5.634790,Oviparous
Zygaspis_quadrifrons,5.501258,Oviparous
Zygaspis_vandami,5.220356,Oviparous
Acanthocercus_adramitanus,5.056246,Oviparous
Acanthocercus_annectens,5.023881,Oviparous
Acanthocercus_atricollis,5.141664,Oviparous
Acanthocercus_branchi,5.043425,Oviparous
NA,4.962845,Oviparous
NA,5.003946,Oviparous
Acanthocercus_cyanogaster,5.117994,Oviparous
NA,4.927254,Oviparous
NA,4.869839,Oviparous
NA,4.820282,Oviparous
Acanthosaura_armata,4.941642,Oviparous
Acanthosaura_capra,4.941642,Oviparous
Acanthosaura_cardamomensis,5.006627,Oviparous
Acanthosaura_coronata,4.499810,Oviparous
Acanthosaura_crucigera,5.043425,Oviparous
Acanthosaura_lepidogaster,4.709530,Oviparous
Acanthosaura_nataliae,5.062595,Oviparous
Agama_aculeata,4.770685,Oviparous
Agama_agama,5.010635,Oviparous
Agama_anchietae,4.941642,Oviparous
Agama_armata,4.543295,Oviparous
Agama_atra,4.941642,Oviparous
Agama_impalearis,4.897840,Oviparous
Agama_boueti,4.700480,Oviparous
Agama_boulengeri,4.941642,Oviparous
Agama_caudospinosa,5.105945,Oviparous
NA,4.948760,Oviparous
Agama_etoshae,4.442651,Oviparous
Agama_finchi,4.772378,Oviparous
Agama_gracilimembris,4.053523,Oviparous
Agama_hispida,4.897840,Oviparous
Agama_kaimosae,4.969813,Oviparous
Agama_kirkii,4.744932,Oviparous
Agama_knobeli,4.941642,Oviparous
Agama_lionotus,4.976734,Oviparous
Agama_lucyae,4.069027,Oviparous
Agama_montana,4.543295,Oviparous
Agama_mossambica,4.787492,Oviparous
Agama_mwanzae,5.075174,Oviparous
Agama_persimilis,4.158883,Oviparous
NA,5.056246,Oviparous
Agama_planiceps,4.997212,Oviparous
Agama_rueppelli,4.624973,Oviparous
Agama_spinosa,4.836282,Oviparous
Agama_weidholzi,4.174387,Oviparous
Otocryptis_beddomei,3.806662,Oviparous
Lophognathus_burnsi,4.905275,Oviparous
Amphibolurus_muricatus,4.828314,Oviparous
Amphibolurus_norrisi,4.762174,Oviparous
Aphaniotis_acutirostris,4.276666,Oviparous
Aphaniotis_fusca,4.290459,Oviparous
Aphaniotis_ornata,4.043051,Oviparous
Archaius_tigris,4.605170,Oviparous
Bradypodion_atromontanum,4.317488,Viviparous
Bradypodion_caeruleogula,4.204693,Viviparous
Bradypodion_caffer,4.430817,Viviparous
Bradypodion_damaranum,4.410371,Viviparous
Bradypodion_dracomontanum,4.400603,Viviparous
Bradypodion_gutturale,4.442651,Viviparous
Bradypodion_kentanicum,4.209160,Viviparous
Bradypodion_melanocephalum,4.330733,Viviparous
Bradypodion_nemorale,4.471639,Viviparous
Bradypodion_ngomeense,4.343805,Oviparous
Bradypodion_occidentale,4.568506,Viviparous
Bradypodion_pumilum,4.640537,Viviparous
Bradypodion_setaroi,4.276666,Viviparous
Bradypodion_taeniabronchum,4.258446,Viviparous
Bradypodion_thamnobates,4.634729,Viviparous
Bradypodion_transvaalense,4.454347,Viviparous
Bradypodion_ventrale,4.624973,Viviparous
NA,4.529368,Oviparous
Bronchocela_cristatella,4.867534,Oviparous
Bronchocela_hayeki,4.790820,Oviparous
Bronchocela_jubata,5.010635,Oviparous
Bronchocela_marmorata,4.828314,Oviparous
NA,4.447346,Oviparous
Bronchocela_rubrigularis,4.667206,Oviparous
NA,4.663439,Oviparous
Bronchocela_smaragdina,4.787492,Oviparous
Brookesia_antakarana,4.107590,Oviparous
Brookesia_bekolosy,3.526361,Oviparous
Brookesia_betschi,3.737670,Oviparous
Brookesia_bonsi,3.637586,Oviparous
Brookesia_brygooi,3.951244,Oviparous
Brookesia_decaryi,4.094345,Oviparous
Brookesia_dentata,3.135494,Oviparous
Brookesia_desperata,3.401197,Oviparous
Brookesia_ebenaui,3.951244,Oviparous
Brookesia_exarmata,3.277145,Oviparous
Brookesia_griveaudi,4.158883,Oviparous
Brookesia_karchei,3.424263,Oviparous
Brookesia_lambertoni,3.784190,Oviparous
Brookesia_lineata,3.806662,Oviparous
Brookesia_minima,3.218876,Oviparous
NA,2.954910,Oviparous
Brookesia_perarmata,4.189655,Oviparous
Brookesia_peyrierasi,3.310543,Oviparous
Brookesia_stumpffi,4.043051,Oviparous
Brookesia_superciliaris,3.988984,Oviparous
Brookesia_therezieni,3.970292,Oviparous
Brookesia_thieli,3.806662,Oviparous
Brookesia_tristis,3.169686,Oviparous
Brookesia_vadoni,3.555348,Oviparous
Brookesia_valerieae,3.970292,Oviparous
Bufoniceps_laungwalaensis,4.234107,Oviparous
Calotes_bachae,4.624973,Oviparous
Calotes_calotes,4.941642,Oviparous
Calotes_ceylonensis,4.418841,Oviparous
Calotes_desilvai,4.382027,Oviparous
Calotes_emma,4.828314,Oviparous
NA,4.595120,Oviparous
NA,4.976734,Oviparous
Calotes_grandisquamis,5.010635,Oviparous
Calotes_irawadi,4.670958,Oviparous
Calotes_jerdoni,4.867534,Oviparous
Calotes_liocephalus,4.605170,Oviparous
Calotes_liolepis,4.605170,Oviparous
Calotes_manamendrai,4.244200,Oviparous
Brachysaura_minor,4.572647,Oviparous
Calotes_mystaceus,4.615121,Oviparous
Calotes_nemoricola,5.010635,Oviparous
Calotes_nigrilabris,4.942356,Oviparous
Oriocalotes_paulus,4.276666,Oviparous
Calotes_pethiyagodai,4.519612,Oviparous
Calotes_versicolor,5.010635,Oviparous
NA,4.663439,Oviparous
NA,4.692265,Oviparous
NA,4.346399,Oviparous
Calumma_boettgeri,4.077537,Oviparous
Calumma_brevicorne,5.135798,Oviparous
Calumma_capuroni,4.499810,Oviparous
Calumma_cucullatum,5.247024,Oviparous
Calumma_fallax,3.925926,Oviparous
Calumma_furcifer,4.276666,Oviparous
Calumma_gallus,4.094345,Oviparous
Calumma_gastrotaenia,4.290459,Oviparous
NA,4.016383,Oviparous
Calumma_glawi,4.219508,Oviparous
Calumma_globifer,5.231109,Oviparous
Calumma_guibei,4.007333,Oviparous
Calumma_hafahafa,4.700480,Oviparous
Calumma_hilleniusi,4.290459,Oviparous
Calumma_malthe,4.905275,Oviparous
Calumma_nasutum,3.912023,Oviparous
Calumma_oshaughnessyi,5.192957,Oviparous
Calumma_parsonii,5.703782,Oviparous
Calumma_peyrierasi,4.032469,Oviparous
Calumma_tsaratananense,4.158883,Oviparous
Ceratophora_aspera,3.795489,Oviparous
Ceratophora_erdeleni,4.430817,Oviparous
Ceratophora_karu,3.688879,Oviparous
Ceratophora_stoddartii,4.483003,Oviparous
Ceratophora_tennentii,4.499810,Oviparous
Chamaeleo_africanus,5.298317,Oviparous
Chamaeleo_anchietae,4.653960,Oviparous
Chamaeleo_arabicus,5.438079,Oviparous
Chamaeleo_calcaricarens,5.010635,Oviparous
Chamaeleo_calyptratus,5.513429,Oviparous
Chamaeleo_chamaeleon,5.135798,Oviparous
Chamaeleo_dilepis,5.273000,Oviparous
Chamaeleo_gracilis,5.247024,Oviparous
Chamaeleo_laevigatus,5.010635,Oviparous
Chamaeleo_monachus,5.159055,Oviparous
Chamaeleo_namaquensis,5.075174,Oviparous
Chamaeleo_senegalensis,5.023881,Oviparous
Chamaeleo_zeylanicus,5.459586,Oviparous
Chelosania_brunnea,4.770685,Oviparous
Chlamydosaurus_kingii,5.669881,Oviparous
Cophotis_ceylanica,4.204693,Viviparous
Coryphophylax_subcristatus,4.716712,Oviparous
Japalura_otai,4.072440,Oviparous
Cryptagama_aurita,3.828641,Oviparous
Ctenophorus_adelaidensis,3.970292,Oviparous
NA,4.028917,Oviparous
Ctenophorus_butlerorum,3.806662,Oviparous
Ctenophorus_caudicinctus,4.653960,Oviparous
Ctenophorus_clayi,4.060443,Oviparous
Ctenophorus_cristatus,4.718499,Oviparous
Ctenophorus_decresii,4.499810,Oviparous
NA,4.272491,Oviparous
Ctenophorus_femoralis,4.043051,Oviparous
Ctenophorus_fionni,4.564348,Oviparous
Ctenophorus_fordi,4.067316,Oviparous
Ctenophorus_gibba,4.564348,Oviparous
NA,4.369448,Oviparous
NA,4.203199,Oviparous
NA,3.970292,Oviparous
NA,4.204693,Oviparous
Ctenophorus_isolepis,4.418841,Oviparous
NA,3.988984,Oviparous
Ctenophorus_maculatus,4.204693,Oviparous
Ctenophorus_maculosus,4.248495,Oviparous
Ctenophorus_mirrityana,4.507557,Oviparous
NA,4.442651,Oviparous
Ctenophorus_nguyarna,4.361824,Oviparous
Ctenophorus_nuchalis,4.844187,Oviparous
Ctenophorus_ornatus,4.553877,Oviparous
Ctenophorus_parviceps,3.951244,Oviparous
Ctenophorus_pictus,4.316154,Oviparous
Ctenophorus_reticulatus,4.682131,Oviparous
Ctenophorus_salinarum,4.355426,Oviparous
Ctenophorus_scutulatus,4.744932,Oviparous
NA,4.615121,Oviparous
NA,3.998201,Oviparous
NA,3.981549,Oviparous
NA,3.988984,Oviparous
Ctenophorus_vadnappa,4.499810,Oviparous
Dendragama_boulengeri,4.389499,Oviparous
Japalura_brevipes,4.356709,Oviparous
Japalura_chapaensis,4.226834,Oviparous
Japalura_dymondi,4.584967,Oviparous
Japalura_fasciata,4.406719,Oviparous
Japalura_flaviceps,4.454347,Oviparous
Japalura_luei,4.310799,Oviparous
Japalura_makii,4.430817,Oviparous
Japalura_micangshanensis,4.276666,Oviparous
Japalura_polygonata,4.384524,Oviparous
Japalura_splendida,4.605170,Oviparous
Japalura_swinhonis,4.470495,Oviparous
Japalura_varcoae,4.442651,Oviparous
Japalura_yunnanensis,4.477337,Oviparous
Diporiphora_albilabris,4.110874,Oviparous
Diporiphora_amphiboluroides,4.595120,Oviparous
Diporiphora_australis,4.343805,Oviparous
Diporiphora_bennettii,4.382027,Oviparous
Diporiphora_bilineata,4.158883,Oviparous
Diporiphora_magna,4.499810,Oviparous
Diporiphora_margaretae,4.077537,Oviparous
Diporiphora_nobbi,4.430817,Oviparous
Diporiphora_paraconvergens,4.094345,Oviparous
Diporiphora_arnhemica,4.234107,Oviparous
Diporiphora_superba,4.553877,Oviparous
Diporiphora_winneckei,4.248495,Oviparous
Draco_abbreviatus,4.941642,Oviparous
Draco_beccarii,4.394449,Oviparous
Draco_biaro,4.332048,Oviparous
Draco_bimaculatus,4.290459,Oviparous
Draco_blanfordii,4.905275,Oviparous
Draco_boschmai,4.506454,Oviparous
Draco_cornutus,4.521789,Oviparous
Draco_cyanopterus,4.553877,Oviparous
Draco_dussumieri,4.653960,Oviparous
Draco_fimbriatus,4.883559,Oviparous
Draco_formosus,4.744932,Oviparous
Draco_haematopogon,4.644391,Oviparous
Draco_indochinensis,4.762174,Oviparous
Draco_lineatus,4.510860,Oviparous
Draco_maculatus,4.564348,Oviparous
Draco_maximus,5.030438,Oviparous
Draco_melanopogon,4.534748,Oviparous
Draco_mindanensis,4.700480,Oviparous
Draco_modiglianii,4.306764,Oviparous
Draco_obscurus,4.736198,Oviparous
Draco_palawanensis,4.442651,Oviparous
Draco_quinquefasciatus,4.700480,Oviparous
Draco_reticulatus,4.882802,Oviparous
Draco_rhytisma,4.442651,Oviparous
Draco_spilonotus,4.382027,Oviparous
Draco_spilopterus,4.634729,Oviparous
Draco_sumatranus,4.510860,Oviparous
Draco_taeniopterus,4.499810,Oviparous
Draco_timorensis,4.532599,Oviparous
Draco_volans,4.564348,Oviparous
Furcifer_angeli,5.075174,Oviparous
Furcifer_antimena,5.135798,Oviparous
Furcifer_balteatus,5.164786,Oviparous
Furcifer_belalandaensis,4.787492,Oviparous
Furcifer_bifidus,5.298317,Oviparous
Furcifer_campani,4.248495,Oviparous
Furcifer_cephalolepis,4.343805,Oviparous
Furcifer_labordi,4.990433,Oviparous
Furcifer_lateralis,4.934474,Oviparous
Furcifer_minor,4.605170,Oviparous
Furcifer_nicosiai,4.976734,Oviparous
Furcifer_oustaleti,5.700444,Oviparous
Furcifer_pardalis,5.521461,Oviparous
Furcifer_petteri,4.499810,Oviparous
Furcifer_polleni,4.644391,Oviparous
Furcifer_rhinoceratus,4.962845,Oviparous
Furcifer_timoni,4.564348,Oviparous
Furcifer_tuzetae,5.153292,Oviparous
Furcifer_verrucosus,5.579730,Oviparous
NA,4.804840,Oviparous
Furcifer_willsii,4.406719,Oviparous
Gonocephalus_bellii,5.026509,Oviparous
Gonocephalus_bornensis,4.927254,Oviparous
Gonocephalus_chamaeleontinus,5.135798,Oviparous
Gonocephalus_doriae,5.093750,Oviparous
Gonocephalus_grandis,5.075174,Oviparous
Gonocephalus_interruptus,4.553877,Oviparous
Gonocephalus_kuhlii,4.624973,Oviparous
Gonocephalus_lacunosus,5.010635,Oviparous
Gonocephalus_liogaster,4.976734,Oviparous
Gonocephalus_semperi,4.736198,Oviparous
Gonocephalus_sophiae,5.010635,Oviparous
Lophognathus_longirostris,4.736198,Oviparous
Hydrosaurus_amboinensis,5.857933,Oviparous
NA,5.886104,Oviparous
Hydrosaurus_pustulatus,5.634790,Oviparous
Hydrosaurus_weberi,5.799093,Oviparous
Hypsilurus_capreolatus,4.779123,Oviparous
Hypsilurus_godeffroyi,5.459586,Oviparous
Hypsilurus_longi,5.459586,Oviparous
Hypsilurus_macrolepis,4.941642,Oviparous
Hypsilurus_magnus,5.446737,Oviparous
Hypsilurus_modestus,4.672829,Oviparous
Hypsilurus_nigrigularis,5.438079,Oviparous
Hypsilurus_papuensis,5.431974,Oviparous
Hypsilurus_schoedei,5.010635,Oviparous
Intellagama_lesueurii,5.666427,Oviparous
Japalura_andersoniana,4.317488,Oviparous
Pseudocalotes_austeniana,4.762174,Oviparous
Japalura_kumaonensis,4.255613,Oviparous
Japalura_major,4.543295,Oviparous
Japalura_tricarinata,4.115780,Oviparous
Japalura_variegata,4.803201,Oviparous
Kinyongia_adolfifriderici,4.192680,Oviparous
Kinyongia_boehmei,4.574711,Oviparous
Kinyongia_carpenteri,4.744932,Oviparous
Kinyongia_excubitor,4.343805,Oviparous
Kinyongia_fischeri,5.298317,Oviparous
Kinyongia_matschiei,5.056246,Oviparous
Kinyongia_multituberculata,4.919981,Oviparous
Kinyongia_oxyrhina,4.276666,Oviparous
NA,4.072440,Oviparous
Kinyongia_tavetana,4.574711,Oviparous
Kinyongia_tenuis,4.248495,Oviparous
NA,4.192680,Oviparous
Kinyongia_uluguruensis,4.532599,Oviparous
Kinyongia_uthmoelleri,4.532599,Oviparous
Kinyongia_vosseleri,4.779123,Oviparous
Kinyongia_xenorhina,4.634729,Oviparous
Laudakia_agrorensis,4.727388,Oviparous
NA,5.023881,Oviparous
Laudakia_melanura,4.976734,Oviparous
Laudakia_nupta,5.164786,Oviparous
Laudakia_papenfussi,4.838660,Oviparous
Stellagama_stellio,4.891852,Oviparous
Laudakia_tuberculata,5.010635,Oviparous
NA,4.941642,Oviparous
Laudakia_wui,5.107762,Oviparous
Leiolepis_belliana,5.180659,Oviparous
Leiolepis_boehmei,4.836282,Oviparous
Leiolepis_guentherpetersi,5.049856,Oviparous
Leiolepis_guttata,5.521461,Oviparous
NA,5.081404,Oviparous
Leiolepis_peguensis,5.087596,Oviparous
Leiolepis_reevesii,5.247024,Oviparous
Leiolepis_rubritaeniata,5.111988,Oviparous
Leiolepis_triploida,4.997212,Oviparous
NA,4.499810,Oviparous
Lophognathus_gilberti,4.905275,Oviparous
Hypsilurus_boydii,5.164786,Oviparous
Hypsilurus_dilophus,5.393628,Oviparous
Hypsilurus_spinipes,4.912655,Oviparous
Lyriocephalus_scutatus,5.220356,Oviparous
Gonocephalus_robinsonii,5.062595,Oviparous
Mantheyus_phuwuanensis,4.499810,Oviparous
Calotes_aurantolabium,4.369448,Oviparous
Moloch_horridus,4.804021,Oviparous
Calotes_ellioti,4.333361,Oviparous
Calotes_rouxii,4.411585,Oviparous
Nadzikambia_mlanjensis,4.430817,Oviparous
Otocryptis_nigristigma,4.382027,Oviparous
Otocryptis_wiegmanni,4.382027,Oviparous
Palleon_lolontany,3.465736,Oviparous
Palleon_nasus,3.891820,Oviparous
Paralaudakia_bochariensis,4.787492,Oviparous
Paralaudakia_caucasia,5.159055,Oviparous
Paralaudakia_erythrogaster,5.036953,Oviparous
Paralaudakia_himalayana,4.976734,Oviparous
Paralaudakia_lehmanni,5.010635,Oviparous
Paralaudakia_microlepis,5.003946,Oviparous
Paralaudakia_stoliczkana,5.192957,Oviparous
NA,4.382027,Oviparous
Phoxophrys_borneensis,4.219508,Oviparous
Phoxophrys_cephalum,4.430817,Oviparous
Phoxophrys_nigrilabris,4.060443,Oviparous
Phoxophrys_spiniceps,4.099332,Oviparous
Phoxophrys_tuberculata,3.761200,Oviparous
Phrynocephalus_ananjevae,3.912023,Oviparous
Phrynocephalus_arabicus,4.094345,Oviparous
Phrynocephalus_axillaris,4.151040,Oviparous
Phrynocephalus_clarkorum,3.806662,Oviparous
Phrynocephalus_erythrurus,4.030695,Viviparous
Phrynocephalus_forsythii,4.105944,Viviparous
NA,4.084294,Oviparous
Phrynocephalus_golubewii,4.248495,Oviparous
Phrynocephalus_guttatus,4.174387,Oviparous
Phrynocephalus_helioscopus,4.248495,Oviparous
NA,3.988984,Oviparous
Phrynocephalus_interscapularis,3.850148,Oviparous
NA,4.317488,Oviparous
Phrynocephalus_luteoguttatus,3.850148,Oviparous
Phrynocephalus_maculatus,4.510860,Oviparous
Phrynocephalus_mystaceus,4.809742,Oviparous
Phrynocephalus_ornatus,3.850148,Oviparous
Phrynocephalus_persicus,4.094345,Oviparous
Phrynocephalus_przewalskii,4.499810,Oviparous
Phrynocephalus_putjatai,4.430817,Viviparous
Phrynocephalus_raddei,4.060443,Oviparous
Phrynocephalus_roborowskii,4.499810,Viviparous
Phrynocephalus_rossikowi,3.912023,Oviparous
Phrynocephalus_scutellatus,4.025352,Oviparous
Phrynocephalus_strauchi,4.007333,Oviparous
Phrynocephalus_theobaldi,4.149464,Viviparous
Phrynocephalus_versicolor,4.204693,Oviparous
Phrynocephalus_vlangalii,4.418841,Viviparous
Physignathus_cocincinus,5.634790,Oviparous
Pogona_barbata,5.583496,Oviparous
Pogona_henrylawsoni,5.023881,Oviparous
Pogona_microlepidota,5.192957,Oviparous
Pogona_minor,5.135798,Oviparous
Pogona_nullarbor,4.948760,Oviparous
Pogona_vitticeps,5.521461,Oviparous
Psammophilus_blanfordanus,4.644391,Oviparous
Psammophilus_dorsalis,4.941642,Oviparous
