species,log_svl_mm,repro_mode
NA,4.605170,Oviparous
Pseudocalotes_brevipes,4.350278,Oviparous
Pseudocalotes_cybelidermus,4.543295,Oviparous
Pseudocalotes_flavigula,4.384524,Oviparous
Pseudocalotes_floweri,4.595120,Oviparous
Pseudocalotes_guttalineatus,4.557030,Oviparous
Pseudocalotes_kakhienensis,4.844187,Oviparous
Pseudocalotes_larutensis,4.347694,Oviparous
NA,4.445001,Oviparous
Pseudocalotes_rhammanotus,4.218036,Oviparous
Pseudocalotes_tympanistriga,4.394449,Oviparous
NA,4.369448,Oviparous
Pseudocophotis_kontumensis,4.475062,Oviparous
Pseudocophotis_sumatrana,4.398146,Oviparous
Pseudotrapelus_aqabensis,4.644391,Oviparous
NA,4.753590,Oviparous
Pseudotrapelus_dhofarensis,4.615121,Oviparous
Pseudotrapelus_jensvindumi,4.521789,Oviparous
NA,4.521789,Oviparous
Pseudotrapelus_sinaitus,4.700480,Oviparous
Ptyctolaemus_gularis,4.470495,Oviparous
Rankinia_diemensis,4.430817,Oviparous
Rhampholeon_acuminatus,4.043051,Oviparous
Rhampholeon_beraduccii,3.558201,Oviparous
Rhampholeon_boulengeri,4.127134,Oviparous
Rhampholeon_chapmanorum,3.951244,Oviparous
Rhampholeon_gorongosae,4.262680,Oviparous
NA,4.025352,Oviparous
Rhampholeon_marshalli,4.290459,Oviparous
Rhampholeon_maspictus,4.186620,Oviparous
Rhampholeon_moyeri,3.962716,Oviparous
Rhampholeon_nchisiensis,4.204693,Oviparous
Rhampholeon_nebulauctor,3.889777,Oviparous
Rhampholeon_platyceps,4.248495,Oviparous
Rhampholeon_spectrum,4.110874,Oviparous
Rhampholeon_spinosus,3.931826,Oviparous
Rhampholeon_temporalis,3.912023,Oviparous
Rhampholeon_tilburyi,4.244200,Oviparous
Rhampholeon_uluguruensis,3.912023,Oviparous
Rhampholeon_viridis,3.850148,Oviparous
Rieppeleon_brachyurus,3.912023,Oviparous
Rieppeleon_brevicaudatus,4.317488,Oviparous
Rieppeleon_kerstenii,4.262680,Oviparous
Saara_asmussi,5.594711,Oviparous
Saara_hardwickii,5.521461,Oviparous
Saara_loricata,5.669881,Oviparous
Salea_anamallayana,4.709530,Oviparous
Salea_horsfieldii,4.595120,Oviparous
NA,4.326778,Oviparous
NA,3.819908,Oviparous
Sitana_fusca,3.864931,Oviparous
Sitana_ponticeriana,4.394449,Oviparous
Sitana_schleichi,3.676301,Oviparous
Sitana_sivalensis,3.795489,Oviparous
Trapelus_agilis,4.753590,Oviparous
Trapelus_agnetae,4.537961,Oviparous
Trapelus_boehmei,4.733563,Oviparous
Trapelus_flavimaculatus,4.867534,Oviparous
Trapelus_megalonyx,4.317488,Oviparous
Trapelus_mutabilis,4.593098,Oviparous
NA,4.700480,Oviparous
Trapelus_rubrigularis,4.553877,Oviparous
Trapelus_ruderatus,4.905275,Oviparous
Trapelus_sanguinolentus,5.236442,Oviparous
Trapelus_savignii,4.812184,Oviparous
Trapelus_tournevillei,4.605170,Oviparous
Trioceros_affinis,4.480740,Viviparous
Trioceros_balebicornutus,4.330733,Viviparous
Trioceros_bitaeniatus,4.521789,Viviparous
Trioceros_camerunensis,4.499810,Oviparous
Trioceros_chapini,4.382027,Oviparous
Trioceros_conirostratus,4.426044,Viviparous
Trioceros_cristatus,5.075174,Oviparous
Trioceros_deremensis,5.105945,Oviparous
Trioceros_ellioti,4.574711,Viviparous
Trioceros_feae,4.644391,Oviparous
Trioceros_fuelleborni,4.653960,Viviparous
Trioceros_goetzei,4.553877,Viviparous
Trioceros_hanangensis,4.324133,Viviparous
Trioceros_harennae,4.309456,Viviparous
Trioceros_hoehnelii,4.701389,Viviparous
Trioceros_incornutus,4.532599,Viviparous
Trioceros_ituriensis,4.867534,Oviparous
Trioceros_jacksonii,5.117994,Viviparous
Trioceros_johnstoni,4.867534,Oviparous
Trioceros_kinetensis,4.234107,Viviparous
Trioceros_laterispinis,4.369448,Viviparous
Trioceros_marsabitensis,4.454347,Viviparous
Trioceros_melleri,5.662960,Oviparous
Trioceros_montium,4.804021,Oviparous
Trioceros_ntunte,4.369448,Viviparous
Trioceros_oweni,4.997212,Oviparous
Trioceros_pfefferi,4.553877,Oviparous
Trioceros_quadricornis,5.123964,Oviparous
Trioceros_rudis,4.317488,Viviparous
Trioceros_schoutedeni,4.158883,Viviparous
Trioceros_schubotzi,4.418841,Viviparous
Trioceros_serratus,4.521789,Oviparous
Trioceros_sternfeldi,4.477337,Viviparous
Trioceros_tempeli,4.727388,Viviparous
Trioceros_werneri,4.634729,Viviparous
Trioceros_wiedersheimi,4.610158,Oviparous
Lophognathus_temporalis,5.026509,Oviparous
Tympanocryptis_centralis,4.110874,Oviparous
Tympanocryptis_cephalus,4.158883,Oviparous
Tympanocryptis_intima,4.110874,Oviparous
Tympanocryptis_lineata,4.276666,Oviparous
Tympanocryptis_pinguicolla,4.174387,Oviparous
Tympanocryptis_tetraporophora,4.304065,Oviparous
Uromastyx_acanthinura,5.991465,Oviparous
Uromastyx_aegyptia,6.035481,Oviparous
Uromastyx_alfredschmidti,5.438079,Oviparous
Uromastyx_benti,5.278115,Oviparous
Uromastyx_dispar,5.446737,Oviparous
Uromastyx_geyri,5.283204,Oviparous
Uromastyx_macfadyeni,4.804021,Oviparous
Uromastyx_nigriventris,5.521461,Oviparous
Uromastyx_occidentalis,5.730100,Oviparous
Uromastyx_ocellata,5.164786,Oviparous
Uromastyx_ornata,5.347108,Oviparous
Uromastyx_princeps,5.192957,Oviparous
Uromastyx_thomasi,5.247024,Oviparous
Xenagama_batillifera,4.611152,Oviparous
Xenagama_taylori,4.454347,Oviparous
Xenagama_wilmsi,4.569543,Oviparous
Xenagama_zonura,4.442651,Oviparous
Abronia_anzuetoi,4.962845,Viviparous
Abronia_aurita,4.828314,Viviparous
Abronia_campbelli,4.844187,Viviparous
NA,4.744932,Oviparous
Abronia_deppii,4.795791,Viviparous
Abronia_fimbriata,4.867534,Viviparous
Mesaspis_gadovii,4.672829,Viviparous
Abronia_graminea,4.706824,Viviparous
Mesaspis_juarezi,4.343805,Viviparous
Abronia_lythrochila,4.787492,Viviparous
Abronia_martindelcampoi,4.744932,Viviparous
Abronia_meledona,4.787492,Viviparous
Abronia_mixteca,4.997212,Viviparous
Mesaspis_monticola,4.477337,Viviparous
Mesaspis_moreletii,4.574711,Viviparous
Abronia_oaxacae,4.762174,Viviparous
Abronia_ochoterenai,4.731803,Viviparous
Abronia_smithi,4.700480,Viviparous
Abronia_taeniata,4.927254,Viviparous
Abronia_vasconcelosii,4.787492,Viviparous
Mesaspis_viridiflava,4.317488,Viviparous
NA,4.700480,Viviparous
Anguis_cephallonica,5.655992,Viviparous
