"tree","T.obs.01","T.obs.10","p.01","p.10","p.upper.01","p.lower.01","p.upper.10","p.lower.10","p.combined","q01","q10","model"
1,4.70556408007799,4.80110173548409,0.898203592814371,0.499001996007984,0.552894211576846,0.449101796407186,0.249500998003992,0.75249500998004,0.998003992015968,0.0105762645928877,0.00158572803881809,"ARD"
2,4.7298145060585,4.86204620972058,0.890219560878243,0.483033932135729,0.445109780439122,0.55688622754491,0.241516966067864,0.760479041916168,0.966067864271457,0.0106201207911082,0.00162481389518239,"ARD"
3,4.75104418810109,4.8391087996615,0.918163672654691,0.622754491017964,0.459081836327345,0.542914171656687,0.311377245508982,0.69061876247505,1,0.0102389866463199,0.00159216251145813,"ARD"
4,4.84703127596191,4.68899209332658,0.131736526946108,0.878243512974052,0.0658682634730539,0.936127744510978,0.439121756487026,0.562874251497006,0.263473053892216,0.015757630535331,0.00125076791744025,"ARD"
5,4.71209287567287,4.82713965234471,0.930139720558882,0.522954091816367,0.465069860279441,0.536926147704591,0.261477045908184,0.740518962075848,1,0.0122267193954894,0.00145044300145273,"ARD"
6,4.75137666220795,4.79262994618512,0.750499001996008,0.642714570858283,0.375249500998004,0.626746506986028,0.321357285429142,0.68063872255489,1,0.0110020390633677,0.00138312614077666,"ARD"
7,4.76204670570606,4.79598218838076,0.718562874251497,0.598802395209581,0.359281437125749,0.642714570858283,0.29940119760479,0.702594810379242,1,0.011023860873242,0.00142498543970287,"ARD"
8,4.71809557661385,4.85960820306067,0.99001996007984,0.483033932135729,0.506986027944112,0.49500998003992,0.241516966067864,0.760479041916168,0.966067864271457,0.0101444529646756,0.0016125894251876,"ARD"
9,4.77960388724158,4.74908831444498,0.654690618762475,0.802395209580838,0.327345309381238,0.674650698602794,0.401197604790419,0.600798403193613,1,0.0124038874836399,0.00137921148606333,"ARD"
10,4.76610109284601,4.78659109157815,0.367265469061876,0.63872255489022,0.183632734530938,0.818363273453094,0.31936127744511,0.682634730538922,0.734530938123752,0.0132605198194016,0.0013476738565638,"ARD"
11,4.7381512881983,4.82318014500521,0.614770459081836,0.471057884231537,0.307385229540918,0.694610778443114,0.235528942115768,0.766467065868264,0.942115768463074,0.0105539637602118,0.00155401362193637,"ARD"
12,4.71467861151914,4.9083315829358,0.974051896207585,0.506986027944112,0.514970059880239,0.487025948103792,0.253493013972056,0.748502994011976,1,0.00725576930967448,0.00147805633978091,"ARD"
13,4.80059852755984,4.76616478142901,0.379241516966068,0.662674650698603,0.189620758483034,0.812375249500998,0.331337325349301,0.67065868263473,0.758483033932136,0.0103917701242108,0.00139180538704827,"ARD"
14,4.76236139818027,4.80592783437936,0.550898203592814,0.626746506986028,0.275449101796407,0.726546906187625,0.313373253493014,0.688622754491018,1,0.0117441121552475,0.00165618745244615,"ARD"
