"alpha","delta.theta","sigma","FP.standard","FP.pruned","n.prunable","n.NA.std","mean.p.std","mean.p.pr"
0.5,2,1,0.0645161290322581,0.032258064516129,100,7,0.466328107615257,0.455050461922278
2,2,1,0.10752688172043,0.150537634408602,100,7,0.356159148073338,0.353660930531272
8,2,1,0.129032258064516,0.172043010752688,100,7,0.321196190682795,0.339275563786022
0.5,4,1,0.0645161290322581,0.0752688172043011,100,7,0.434343574846793,0.416548966161145
2,4,1,0.161290322580645,0.161290322580645,100,7,0.313865072092212,0.316586919494459
8,4,1,0.161290322580645,0.161290322580645,100,7,0.315551921175003,0.326247941953032
0.5,8,1,0.0967741935483871,0.10752688172043,100,7,0.368951170328528,0.365284280814283
2,8,1,0.150537634408602,0.182795698924731,100,7,0.304365718349422,0.307264310842967
8,8,1,0.150537634408602,0.161290322580645,100,7,0.314737736882097,0.321139878510026
