"n.tips","q.rate","s","method","n.reps","n.valid","n.NA","n.sig","rate","metric"
500,0.1,3,"phyloglm",200,200,0,6,0.03,"power"
500,0.1,3,"pgls",200,200,0,14,0.07,"power"
50,0.5,3,"anccond.01",200,200,0,21,0.105,"power"
50,0.5,3,"anccond.10",200,200,0,19,0.095,"power"
50,0.5,3,"phyloglm",200,200,0,23,0.115,"power"
50,0.5,3,"pgls",200,200,0,16,0.08,"power"
100,0.5,3,"anccond.01",200,200,0,20,0.1,"power"
100,0.5,3,"anccond.10",200,200,0,19,0.095,"power"
100,0.5,3,"phyloglm",200,200,0,15,0.075,"power"
100,0.5,3,"pgls",200,200,0,10,0.05,"power"
200,0.5,3,"anccond.01",200,200,0,25,0.125,"power"
200,0.5,3,"anccond.10",200,200,0,38,0.19,"power"
200,0.5,3,"phyloglm",200,200,0,17,0.085,"power"
200,0.5,3,"pgls",200,200,0,16,0.08,"power"
500,0.5,3,"anccond.01",200,200,0,51,0.255,"power"
500,0.5,3,"anccond.10",200,200,0,54,0.27,"power"
500,0.5,3,"phyloglm",200,200,0,6,0.03,"power"
500,0.5,3,"pgls",200,200,0,17,0.085,"power"
50,1,3,"anccond.01",200,200,0,27,0.135,"power"
50,1,3,"anccond.10",200,200,0,27,0.135,"power"
50,1,3,"phyloglm",200,200,0,10,0.05,"power"
50,1,3,"pgls",200,200,0,15,0.075,"power"
100,1,3,"anccond.01",200,200,0,30,0.15,"power"
100,1,3,"anccond.10",200,200,0,46,0.23,"power"
100,1,3,"phyloglm",200,200,0,23,0.115,"power"
100,1,3,"pgls",200,200,0,9,0.045,"power"
200,1,3,"anccond.01",200,200,0,62,0.31,"power"
200,1,3,"anccond.10",200,200,0,68,0.34,"power"
200,1,3,"phyloglm",200,200,0,11,0.055,"power"
200,1,3,"pgls",200,200,0,17,0.085,"power"
500,1,3,"anccond.01",200,200,0,109,0.545,"power"
500,1,3,"anccond.10",200,200,0,95,0.475,"power"
500,1,3,"phyloglm",200,200,0,5,0.025,"power"
500,1,3,"pgls",200,200,0,20,0.1,"power"
50,2,3,"anccond.01",200,200,0,39,0.195,"power"
50,2,3,"anccond.10",200,200,0,38,0.19,"power"
50,2,3,"phyloglm",200,200,0,7,0.035,"power"
50,2,3,"pgls",200,200,0,8,0.04,"power"
100,2,3,"anccond.01",200,200,0,66,0.33,"power"
100,2,3,"anccond.10",200,200,0,58,0.29,"power"
100,2,3,"phyloglm",200,200,0,12,0.06,"power"
100,2,3,"pgls",200,200,0,9,0.045,"power"
200,2,3,"anccond.01",200,200,0,96,0.48,"power"
200,2,3,"anccond.10",200,200,0,108,0.54,"power"
200,2,3,"phyloglm",200,200,0,12,0.06,"power"
200,2,3,"pgls",200,200,0,8,0.04,"power"
500,2,3,"anccond.01",200,200,0,154,0.77,"power"
500,2,3,"anccond.10",200,200,0,160,0.8,"power"
500,2,3,"phyloglm",200,200,0,8,0.04,"power"
500,2,3,"pgls",200,200,0,15,0.075,"power"
50,0.1,5,"anccond.01",200,190,10,13,0.068421052631579,"power"
50,0.1,5,"anccond.10",200,188,12,12,0.0638297872340425,"power"
50,0.1,5,"phyloglm",200,200,0,30,0.15,"power"
50,0.1,5,"pgls",200,200,0,20,0.1,"power"
100,0.1,5,"anccond.01",200,191,9,15,0.0785340314136126,"power"
100,0.1,5,"anccond.10",200,190,10,8,0.0421052631578947,"power"
100,0.1,5,"phyloglm",200,200,0,22,0.11,"power"
100,0.1,5,"pgls",200,200,0,16,0.08,"power"
200,0.1,5,"anccond.01",200,199,1,23,0.115577889447236,"power"
200,0.1,5,"anccond.10",200,197,3,19,0.0964467005076142,"power"
200,0.1,5,"phyloglm",200,200,0,30,0.15,"power"
200,0.1,5,"pgls",200,200,0,19,0.095,"power"
500,0.1,5,"anccond.01",200,200,0,35,0.175,"power"
500,0.1,5,"anccond.10",200,199,1,30,0.150753768844221,"power"
500,0.1,5,"phyloglm",200,200,0,12,0.06,"power"
500,0.1,5,"pgls",200,200,0,29,0.145,"power"
50,0.5,5,"anccond.01",200,200,0,23,0.115,"power"
50,0.5,5,"anccond.10",200,200,0,23,0.115,"power"
50,0.5,5,"phyloglm",200,200,0,38,0.19,"power"
50,0.5,5,"pgls",200,200,0,15,0.075,"power"
100,0.5,5,"anccond.01",200,200,0,41,0.205,"power"
100,0.5,5,"anccond.10",200,200,0,35,0.175,"power"
100,0.5,5,"phyloglm",200,200,0,38,0.19,"power"
100,0.5,5,"pgls",200,200,0,23,0.115,"power"
200,0.5,5,"anccond.01",200,200,0,51,0.255,"power"
200,0.5,5,"anccond.10",200,200,0,39,0.195,"power"
200,0.5,5,"phyloglm",200,200,0,33,0.165,"power"
200,0.5,5,"pgls",200,200,0,20,0.1,"power"
500,0.5,5,"anccond.01",200,200,0,99,0.495,"power"
500,0.5,5,"anccond.10",200,200,0,99,0.495,"power"
500,0.5,5,"phyloglm",200,200,0,32,0.16,"power"
500,0.5,5,"pgls",200,200,0,30,0.15,"power"
50,1,5,"anccond.01",200,200,0,44,0.22,"power"
50,1,5,"anccond.10",200,200,0,42,0.21,"power"
50,1,5,"phyloglm",200,200,0,28,0.14,"power"
50,1,5,"pgls",200,200,0,7,0.035,"power"
100,1,5,"anccond.01",200,200,0,60,0.3,"power"
100,1,5,"anccond.10",200,200,0,79,0.395,"power"
100,1,5,"phyloglm",200,200,0,27,0.135,"power"
100,1,5,"pgls",200,200,0,12,0.06,"power"
200,1,5,"anccond.01",200,200,0,95,0.475,"power"
200,1,5,"anccond.10",200,200,0,118,0.59,"power"
200,1,5,"phyloglm",200,200,0,41,0.205,"power"
200,1,5,"pgls",200,200,0,21,0.105,"power"
500,1,5,"anccond.01",200,200,0,164,0.82,"power"
500,1,5,"anccond.10",200,200,0,163,0.815,"power"
500,1,5,"phyloglm",200,200,0,42,0.21,"power"
500,1,5,"pgls",200,200,0,11,0.055,"power"
50,2,5,"anccond.01",200,200,0,35,0.175,"power"
50,2,5,"anccond.10",200,200,0,51,0.255,"power"
50,2,5,"phyloglm",200,200,0,25,0.125,"power"
50,2,5,"pgls",200,200,0,12,0.06,"power"
100,2,5,"anccond.01",200,200,0,100,0.5,"power"
100,2,5,"anccond.10",200,200,0,105,0.525,"power"
100,2,5,"phyloglm",200,200,0,26,0.13,"power"
100,2,5,"pgls",200,200,0,15,0.075,"power"
200,2,5,"anccond.01",200,200,0,144,0.72,"power"
200,2,5,"anccond.10",200,200,0,139,0.695,"power"
200,2,5,"phyloglm",200,200,0,29,0.145,"power"
200,2,5,"pgls",200,200,0,15,0.075,"power"
500,2,5,"anccond.01",200,200,0,187,0.935,"power"
500,2,5,"anccond.10",200,200,0,192,0.96,"power"
500,2,5,"phyloglm",200,200,0,36,0.18,"power"
500,2,5,"pgls",200,200,0,10,0.05,"power"
50,0.1,10,"anccond.01",200,193,7,9,0.0466321243523316,"power"
50,0.1,10,"anccond.10",200,190,10,11,0.0578947368421053,"power"
50,0.1,10,"phyloglm",200,200,0,49,0.245,"power"
50,0.1,10,"pgls",200,200,0,23,0.115,"power"
