"n.tips","q01","q10","s","rep","p.ac01","p.ac10","p.plg","p.pgls","n.trans"
50,0.1,0.1,1,1,0.802547770700637,0.355555555555556,0.0614161888359239,0.0757892386479815,2
50,0.1,0.1,1,2,0.629080118694362,0.891428571428571,0.901999102898294,0.39790785344189,3
50,0.1,0.1,1,3,0.903225806451613,0.479750778816199,0.998764644035024,0.362985875781386,1
50,0.1,0.1,1,4,0.851963746223565,0.504672897196262,0.308497044958874,0.049527526439904,4
50,0.1,0.1,1,5,0.56231884057971,0.982142857142857,0.99927409251385,0.491241078207691,3
50,0.1,0.1,1,6,0.0133779264214047,0.807817589576547,0.994411069936189,0.150466347343988,2
50,0.1,0.1,1,7,0.645390070921986,NA,0.996400302589074,0.870657958293527,1
50,0.1,0.1,1,8,0.441791044776119,0.635568513119534,0.186499216808714,0.107095535849285,4
50,0.1,0.1,1,9,0.306569343065693,0.440097799511002,0.997865434995707,0.349872536243228,2
50,0.1,0.1,1,10,0.764890282131661,0.177914110429448,0.998722961339852,0.699116181900425,2
50,0.1,0.1,1,11,0.591304347826087,0.427299703264095,0.365958881143842,0.26341923265852,3
50,0.1,0.1,1,12,0.238578680203046,0.128865979381443,0.501249675347018,0.734271765683215,3
50,0.1,0.1,1,13,0.491228070175439,0.870588235294118,0.999952602081518,0.523433848733666,2
50,0.1,0.1,1,14,0.829411764705882,0.518731988472622,0.992908374769032,0.513470338082326,2
50,0.1,0.1,1,15,NA,0.870431893687708,0.99842797691907,0.213829063991398,2
50,0.1,0.1,1,16,0.191082802547771,0.457912457912458,0.999749935170432,0.866105646693934,4
50,0.1,0.1,1,17,0.410404624277457,0.156521739130435,0.175758952452879,0.369911487316823,2
50,0.1,0.1,1,18,0.716312056737589,0.581560283687943,0.996973689992237,0.930553697400822,2
50,0.1,0.1,1,19,0.864705882352941,0.702857142857143,0.961459214889946,0.890271918522717,4
50,0.1,0.1,1,20,0.844884488448845,0.761006289308176,0.999712531568804,0.739882439260779,2
50,0.1,0.1,1,21,0.222222222222222,NA,0.157095758136742,0.0143491065227978,3
50,0.1,0.1,1,22,0.622589531680441,0.911051212938005,0.999938171105341,0.619891008129326,2
50,0.1,0.1,1,23,0.0410958904109589,0.0567375886524823,0.383021301074978,0.732006038494795,2
50,0.1,0.1,1,24,0.874172185430464,0.252427184466019,0.513330685328453,0.715018984381892,5
50,0.1,0.1,1,25,0.744565217391304,0.826815642458101,0.999220577224,0.40118090658889,3
50,0.1,0.1,1,26,0.205787781350482,0.397435897435897,0.699030681351056,0.389021498854177,2
50,0.1,0.1,1,27,NA,0.624624624624625,0.999253903194629,0.593707815648981,1
50,0.1,0.1,1,28,0.505376344086022,0.943089430894309,0.999651935573963,0.4499206424072,3
50,0.1,0.1,1,29,NA,0.76056338028169,0.999202548209224,0.704687257413484,2
50,0.1,0.1,1,30,0.8125,0.434285714285714,0.695782517317314,0.441136753449085,2
50,0.1,0.1,1,31,0.645533141210375,0.524495677233429,0.756993142150017,0.426206911608133,2
50,0.1,0.1,1,32,0.269090909090909,0.364912280701754,0.00842724287985274,0.0469968686898942,2
50,0.1,0.1,1,33,0.32258064516129,0.926553672316384,0.490198690969478,0.500321506051018,3
50,0.1,0.1,1,34,0.581818181818182,0.315789473684211,0.999046399707167,0.84640981488985,2
50,0.1,0.1,1,35,0.723809523809524,0.636942675159236,0.999321513549364,0.290866066742652,5
50,0.1,0.1,1,36,0.848314606741573,0.0286532951289398,0.999302277023048,0.751093919309102,4
50,0.1,0.1,1,37,0.668896321070234,0.604026845637584,0.999661200811896,0.585328518619329,3
50,0.1,0.1,1,38,NA,0.584717607973422,0.999463411912607,0.952973814629374,1
50,0.1,0.1,1,39,0.889473684210526,0.95,0.99301792255896,0.996535726373349,3
50,0.1,0.1,1,40,0.183381088825215,0.210526315789474,0.296759824123938,0.36957305061017,4
50,0.1,0.1,1,41,0.515527950310559,0.627062706270627,0.999799918111447,0.848077617926488,2
50,0.1,0.1,1,42,0.168168168168168,0.115606936416185,0.998262120853652,0.0818428420753456,1
50,0.1,0.1,1,43,0.960725075528701,0.134969325153374,0.188887214052545,0.10613598263892,2
50,0.1,0.1,1,44,0.70414201183432,0.973913043478261,0.999823836039743,0.78342841765423,2
50,0.1,0.1,1,45,0.268156424581006,0.609195402298851,0.999876363578042,0.469047124417641,5
50,0.1,0.1,1,46,0.453416149068323,0.786786786786787,0.999374024181661,0.263287702165518,3
50,0.1,0.1,1,47,0.123456790123457,0.04375,0.0532346200046399,0.274827777189492,2
50,0.1,0.1,1,48,0.626865671641791,0.530120481927711,0.821305770154684,0.447998954939245,2
50,0.1,0.1,1,49,0.599388379204893,NA,0.999505345953435,0.77148423608759,1
50,0.1,0.1,1,50,0.568421052631579,0.849462365591398,0.988487205758655,0.767747692847492,3
50,0.1,0.1,1,51,0.201729106628242,0.921348314606742,0.99974377136514,0.216281071889028,5
50,0.1,0.1,1,52,0.395543175487465,0.633053221288515,0.999684561345615,0.57003876633591,2
50,0.1,0.1,1,53,0.190751445086705,0.0113314447592068,0.856962893169814,0.378506270390806,2
50,0.1,0.1,1,54,0.697297297297297,0.764705882352941,0.0251024148868993,0.370914574427939,2
50,0.1,0.1,1,55,0.458923512747875,0.862068965517241,0.625205682952261,0.370587257119348,2
50,0.1,0.1,1,56,NA,0.333333333333333,0.999853749422198,0.45121159835149,1
50,0.1,0.1,1,57,NA,0.901960784313726,0.999781242259852,0.633657313219591,1
50,0.1,0.1,1,58,0.29375,0.379661016949153,0.0820501634971583,0.0538594373264319,3
50,0.1,0.1,1,59,0.711484593837535,0.49171270718232,0.999869041480782,0.640091723420403,2
50,0.1,0.1,1,60,0.683544303797468,0.713846153846154,0.99681452790676,0.183354540580869,4
50,0.1,0.1,1,61,0.364238410596026,0.84789644012945,0.999810433361136,0.521404738332385,3
50,0.1,0.1,1,62,0.67515923566879,0.314465408805031,0.999031517299733,0.483484625515077,2
50,0.1,0.1,1,63,0.990936555891239,0.459627329192547,0.967867695207665,0.931305110815824,2
50,0.1,0.1,1,64,0.515463917525773,0.436860068259386,0.999948323445626,0.585699404667299,1
50,0.1,0.1,1,65,0.125714285714286,0.994011976047904,0.203364328418894,0.0759130745658474,2
50,0.1,0.1,1,66,0.528301886792453,0.303191489361702,0.998947071587789,0.641855438899125,2
50,0.1,0.1,1,67,0.286549707602339,0.323353293413174,0.711018009570811,0.476186482776059,2
50,0.1,0.1,1,68,0.386363636363636,0.129943502824859,0.999618119003446,0.908809307265981,2
50,0.1,0.1,1,69,0.332361516034985,0.753623188405797,0.999852112587605,0.878580128318983,3
50,0.1,0.1,1,70,0.415954415954416,0.222857142857143,0.795209912253382,0.23401783924266,2
50,0.1,0.1,1,71,0.961783439490446,0.303405572755418,0.998473638729324,0.945219246492514,4
50,0.1,0.1,1,72,0.709677419354839,0.627906976744186,0.999818422286825,0.831190930667401,2
50,0.1,0.1,1,73,0.759259259259259,0.948328267477204,0.999769525807379,0.493726724165676,2
50,0.1,0.1,1,74,0.57243816254417,0.749116607773852,0.00185331808319117,0.0710886390502533,2
50,0.1,0.1,1,75,0.792746113989637,0.788659793814433,0.999332851664827,0.95200178009891,2
50,0.1,0.1,1,76,0.981012658227848,0.883280757097792,0.99987429174304,0.871005153889439,1
50,0.1,0.1,1,77,0.242774566473988,NA,0.999113749675294,0.750596262456445,2
50,0.1,0.1,1,78,0.875444839857651,0.958041958041958,0.99987728818751,0.736058491339751,2
50,0.1,0.1,1,79,0.24929178470255,0.837465564738292,0.999483724867824,0.951089148527196,3
50,0.1,0.1,1,80,0.813880126182965,0.734177215189873,0.351978673179799,0.138174328917511,2
50,0.1,0.1,1,81,NA,0.71523178807947,0.99980867228771,0.9111262641379,2
50,0.1,0.1,1,82,0.370149253731343,0.151975683890578,0.0977329626618392,0.351553045805577,3
50,0.1,0.1,1,83,0.127659574468085,0.160621761658031,0.582958398316032,0.227061778010141,2
50,0.1,0.1,1,84,0.768831168831169,0.790055248618785,0.999196090281293,0.296478750222017,3
50,0.1,0.1,1,85,0.446886446886447,0.812720848056537,0.999190668249146,0.37530530085115,1
50,0.1,0.1,1,86,0.889473684210526,0.587012987012987,0.999693554378052,0.372221499772564,2
50,0.1,0.1,1,87,0.872274143302181,0.860759493670886,0.998949580018581,0.353713945164529,2
50,0.1,0.1,1,88,0.509433962264151,0.160493827160494,0.360546658487211,0.389051999381012,1
50,0.1,0.1,1,89,0.445086705202312,0.0219178082191781,0.998990418987782,0.598427875104782,2
50,0.1,0.1,1,90,0.969879518072289,0.122324159021407,0.00207803784631855,0.618643482042003,4
50,0.1,0.1,1,91,NA,0.708791208791209,0.998911837574352,0.969251966361846,2
50,0.1,0.1,1,92,0.38781163434903,0.982857142857143,0.503265301913877,0.458211885707224,2
50,0.1,0.1,1,93,0.92836676217765,0.701369863013699,0.999917139277848,0.464055113744118,2
50,0.1,0.1,1,94,0.23125,0.347540983606557,0.999142506786146,0.357590803754622,2
50,0.1,0.1,1,95,NA,0.985754985754986,0.975660306331594,0.442485540766031,2
50,0.1,0.1,1,96,0.481605351170569,0.311864406779661,0.999044675127429,0.855058734964815,2
50,0.1,0.1,1,97,1,0.363636363636364,0.999687896340052,0.430232346101052,3
50,0.1,0.1,1,98,0.379310344827586,0.746987951807229,0.999489138303122,0.106170194370965,1
50,0.1,0.1,1,99,0.572307692307692,0.578313253012048,0.999914507921814,0.476452570810952,5
50,0.1,0.1,1,100,0.0802675585284281,0.596026490066225,0.813651223310872,0.912679055262543,3
50,0.1,0.1,1,101,0.760147601476015,0.0772200772200772,0.999999999999985,0.288865523555755,1
50,0.1,0.1,1,102,0.793002915451895,0.78698224852071,0.999884372685739,0.4488254738744,3
50,0.1,0.1,1,103,0.319277108433735,NA,0.528241416825242,0.837455810358686,2
