"n.tips","q.rate","s","n.reps","total.discard","mean.discard","mean.true.trans"
50,0.1,1,200,241,1.205,2.38
100,0.1,1,200,106,0.53,3
200,0.1,1,200,22,0.11,4.495
500,0.1,1,200,1,0.005,8.815
50,0.5,1,200,5,0.025,7.265
100,0.5,1,200,0,0,12.305
200,0.5,1,200,0,0,21.25
500,0.5,1,200,0,0,44.83
50,1,1,200,0,0,14.5
100,1,1,200,0,0,24.475
200,1,1,200,0,0,41.99
500,1,1,200,0,0,87.18
50,2,1,200,0,0,28.62
100,2,1,200,0,0,48.185
200,2,1,200,0,0,82.095
500,2,1,200,0,0,174.04
50,0.1,2,200,197,0.985,2.57
100,0.1,2,200,76,0.38,3.32
200,0.1,2,200,18,0.09,4.95
500,0.1,2,200,0,0,9.925
50,0.5,2,200,4,0.02,8.22
100,0.5,2,200,1,0.005,13.575
200,0.5,2,200,0,0,23.205
500,0.5,2,200,0,0,49.165
50,1,2,200,0,0,15.84
100,1,2,200,0,0,27.05
200,1,2,200,0,0,46.16
500,1,2,200,0,0,100.53
50,2,2,200,0,0,32.235
100,2,2,200,0,0,53.875
200,2,2,200,0,0,95.31
500,2,2,200,0,0,196.85
50,0.1,3,200,202,1.01,2.855
100,0.1,3,200,48,0.24,3.855
200,0.1,3,200,13,0.065,5.55
500,0.1,3,200,1,0.005,11.44
50,0.5,3,200,0,0,9.84
100,0.5,3,200,0,0,15.955
200,0.5,3,200,0,0,28.225
500,0.5,3,200,0,0,58.25
50,1,3,200,0,0,19.24
100,1,3,200,0,0,31.655
200,1,3,200,0,0,55.605
500,1,3,200,0,0,114.82
50,2,3,200,0,0,37.57
100,2,3,200,0,0,62.83
200,2,3,200,0,0,110.82
500,2,3,200,0,0,230.6
50,0.1,5,200,112,0.56,3.295
100,0.1,5,200,18,0.09,4.62
200,0.1,5,200,5,0.025,7.62
500,0.1,5,200,0,0,15.055
50,0.5,5,200,1,0.005,13.035
100,0.5,5,200,0,0,20.825
200,0.5,5,200,0,0,36.23
500,0.5,5,200,0,0,77.87
50,1,5,200,0,0,25.65
100,1,5,200,0,0,42.295
200,1,5,200,0,0,73.48
500,1,5,200,0,0,154.6
50,2,5,200,0,0,51.48
100,2,5,200,0,0,85.9
200,2,5,200,0,0,150.8
500,2,5,200,0,0,311.425
50,0.1,10,200,39,0.195,4.775
100,0.1,10,200,6,0.03,7.485
200,0.1,10,200,0,0,12.11
500,0.1,10,200,0,0,25.15
50,0.5,10,200,0,0,22.075
100,0.5,10,200,0,0,36.4
200,0.5,10,200,0,0,61.245
500,0.5,10,200,0,0,128.48
50,1,10,200,0,0,43.39
100,1,10,200,0,0,71.565
200,1,10,200,0,0,118.49
500,1,10,200,0,0,253.86
50,2,10,200,0,0,84.675
100,2,10,200,0,0,142.005
200,2,10,200,0,0,248.53
500,2,10,200,0,0,519.3
