"n.tips","q.rate","s","direction","rep","n0","n1","n.true.trans","n.discard","T.obs.01","T.obs.10","p.anccond.01","p.anccond.10","p.upper.01","p.lower.01","p.upper.10","p.lower.10","p.phyloglm","p.pgls"
50,0.1,1,1,45,47,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.592236601709601,0.166018582614116
50,0.1,1,1,46,40,10,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999989619486426,0.465229702547009
50,0.1,1,-1,47,9,41,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.998388442513928,0.259931199400806
50,0.1,1,-1,48,4,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.862692980449164,0.832792880690092
50,0.1,1,-1,49,11,39,2,5,NA,NA,NA,NA,NA,NA,NA,NA,0.999846008055307,0.470656895504488
50,0.1,1,1,50,4,46,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.509543670508534,0.361537560037504
100,0.1,1,-1,1,92,8,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.82178674136501,0.137017798022613
100,0.1,1,-1,2,3,97,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.25885442525915,0.218163455006128
100,0.1,1,-1,3,75,25,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998959448814451,0.842354968316489
100,0.1,1,1,4,33,67,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99812696357442,0.476072329500746
100,0.1,1,1,5,7,93,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99982330854836,0.189987207715099
100,0.1,1,-1,6,97,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.998650126076983,0.485318275201768
100,0.1,1,1,7,21,79,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997500999866078,0.0169449045803002
100,0.1,1,1,8,28,72,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99870621976953,0.159496515631443
100,0.1,1,-1,9,10,90,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999976981461549,0.595605216117842
100,0.1,1,-1,10,93,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999853631215112,0.100020774999876
100,0.1,1,-1,11,6,94,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999870757184521,0.915611447764226
100,0.1,1,1,12,62,38,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.369744785450018,0.84780522167984
100,0.1,1,-1,13,9,91,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999453808974239,0.719642779954463
100,0.1,1,-1,14,13,87,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999958124566915,0.531366152223236
100,0.1,1,1,15,9,91,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.56456706242618,0.145418468692654
100,0.1,1,-1,16,97,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.0803181266246601,0.225675990499669
100,0.1,1,-1,17,97,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0.227554845439642
100,0.1,1,-1,18,92,8,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999481808154487,0.585358058936933
100,0.1,1,-1,19,5,95,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.432363582660256,0.408040359111439
100,0.1,1,-1,20,6,94,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.375551953681864,0.0435322387637053
100,0.1,1,-1,21,59,41,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999544998566871,0.818158017682493
100,0.1,1,1,22,87,13,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999645675033357,0.0313211961715194
100,0.1,1,1,23,11,89,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998412071622072,0.0522086396022472
100,0.1,1,-1,24,7,93,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0.942476134908897,0.0217130057791345
100,0.1,1,-1,25,84,16,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999807179070984,0.978949803294002
100,0.1,1,1,26,8,92,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999234051103132,0.46769573887092
100,0.1,1,1,27,93,7,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.993742667240869,0.90284116271753
100,0.1,1,1,28,97,3,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.775757470446513,0.512543493452893
100,0.1,1,1,29,6,94,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99950556355217,0.427666971226954
100,0.1,1,1,30,97,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.996412427696197,0.129478101788099
100,0.1,1,1,31,7,93,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.154277452504453,0.0222273881220864
100,0.1,1,-1,32,4,96,4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.878531787550119,0.276137543616572
100,0.1,1,-1,33,5,95,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.705889892372195,0.962410894709183
100,0.1,1,1,34,15,85,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999023359316675,0.275602554802692
100,0.1,1,-1,35,95,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999885982940863,0.746212728720075
100,0.1,1,1,36,16,84,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.998824391564504,0.261421544363337
100,0.1,1,1,37,7,93,3,3,NA,NA,NA,NA,NA,NA,NA,NA,0.772340674724498,0.606888213971117
100,0.1,1,1,38,20,80,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.998392197364133,0.0903678261057549
100,0.1,1,1,39,9,91,3,2,NA,NA,NA,NA,NA,NA,NA,NA,0.999692961796847,0.974596638481026
100,0.1,1,1,40,96,4,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999986730881272,0.485558126644543
100,0.1,1,1,41,14,86,6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.997942975593794,0.687984007059659
100,0.1,1,-1,42,6,94,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997760771568845,0.403503438709935
100,0.1,1,-1,43,4,96,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999732589909429,0.496216414395553
100,0.1,1,1,44,94,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997340093717112,0.947964267132317
100,0.1,1,-1,45,7,93,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.998723649079426,0.929808671775683
100,0.1,1,-1,46,8,92,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.86665038239732,0.201338220178114
100,0.1,1,-1,47,96,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999850867951472,0.527241508957348
100,0.1,1,1,48,92,8,4,2,NA,NA,NA,NA,NA,NA,NA,NA,0.947262724044646,0.688063477319024
100,0.1,1,-1,49,62,38,2,0,NA,NA,NA,NA,NA,NA,NA,NA,0.996785298432751,0.0747370103228309
100,0.1,1,-1,50,4,96,3,0,NA,NA,NA,NA,NA,NA,NA,NA,0.346994292226211,0.902208093137341
50,0.5,1,1,1,35,15,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.591070331637883,0.631150159340184
50,0.5,1,1,2,8,42,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.441504561655097,0.788201825758063
50,0.5,1,-1,3,8,42,3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.998765096107164,0.073154739052405
50,0.5,1,-1,4,42,8,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.985038919779409,0.93390581302396
50,0.5,1,1,5,5,45,7,0,NA,NA,NA,NA,NA,NA,NA,NA,0.508353725553754,0.426818857525855
50,0.5,1,1,6,28,22,12,0,NA,NA,NA,NA,NA,NA,NA,NA,0.555353883801376,0.605679994742228
50,0.5,1,-1,7,11,39,8,0,NA,NA,NA,NA,NA,NA,NA,NA,0.575532066383723,0.349888990424836
50,0.5,1,1,8,17,33,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.987508127716385,0.715461884863299
50,0.5,1,-1,9,41,9,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.999844074009641,0.0598460173629916
50,0.5,1,1,10,9,41,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.997857027881616,0.810497087258046
50,0.5,1,1,11,10,40,4,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0362358837770724,0.0522938881270897
50,0.5,1,-1,12,12,38,7,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99999239109684,0.526431544544586
50,0.5,1,-1,13,26,24,10,0,NA,NA,NA,NA,NA,NA,NA,NA,0.996884526137504,0.852755122303455
50,0.5,1,-1,14,24,26,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99886687675849,0.298858227928573
50,0.5,1,-1,15,39,11,9,0,NA,NA,NA,NA,NA,NA,NA,NA,0.409211653430592,0.455157222710427
50,0.5,1,-1,16,7,43,6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.999775910832614,0.872303878797159
50,0.5,1,-1,17,43,7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,0.636720279114077,0.935075620458503
