"n.tips","q.rate","s","method","rate","n.sig","n.valid","metric"
50,0.1,1,"anccond.01",0.0104712041884817,2,191,"FPR"
100,0.1,1,"anccond.01",0.0264550264550265,5,189,"FPR"
200,0.1,1,"anccond.01",0.0408163265306122,8,196,"FPR"
500,0.1,1,"anccond.01",0.0303030303030303,6,198,"FPR"
50,0.5,1,"anccond.01",0.055,11,200,"FPR"
100,0.5,1,"anccond.01",0.04,8,200,"FPR"
200,0.5,1,"anccond.01",0.025,5,200,"FPR"
500,0.5,1,"anccond.01",0.05,10,200,"FPR"
50,1,1,"anccond.01",0.04,8,200,"FPR"
100,1,1,"anccond.01",0.065,13,200,"FPR"
200,1,1,"anccond.01",0.05,10,200,"FPR"
500,1,1,"anccond.01",0.03,6,200,"FPR"
50,2,1,"anccond.01",0.05,10,200,"FPR"
100,2,1,"anccond.01",0.065,13,200,"FPR"
200,2,1,"anccond.01",0.035,7,200,"FPR"
500,2,1,"anccond.01",0.065,13,200,"FPR"
50,0.1,2,"anccond.01",0.0161290322580645,3,186,"power"
100,0.1,2,"anccond.01",0.0408163265306122,8,196,"power"
200,0.1,2,"anccond.01",0.0255102040816327,5,196,"power"
500,0.1,2,"anccond.01",0.08,16,200,"power"
50,0.5,2,"anccond.01",0.055,11,200,"power"
100,0.5,2,"anccond.01",0.035,7,200,"power"
200,0.5,2,"anccond.01",0.105,21,200,"power"
500,0.5,2,"anccond.01",0.16,32,200,"power"
50,1,2,"anccond.01",0.075,15,200,"power"
100,1,2,"anccond.01",0.09,18,200,"power"
200,1,2,"anccond.01",0.17,34,200,"power"
500,1,2,"anccond.01",0.29,58,200,"power"
50,2,2,"anccond.01",0.07,14,200,"power"
100,2,2,"anccond.01",0.135,27,200,"power"
200,2,2,"anccond.01",0.22,44,200,"power"
500,2,2,"anccond.01",0.465,93,200,"power"
50,0.1,3,"anccond.01",0.032967032967033,6,182,"power"
100,0.1,3,"anccond.01",0.0364583333333333,7,192,"power"
200,0.1,3,"anccond.01",0.0710659898477157,14,197,"power"
500,0.1,3,"anccond.01",0.065,13,200,"power"
50,0.5,3,"anccond.01",0.1,20,200,"power"
100,0.5,3,"anccond.01",0.09,18,200,"power"
200,0.5,3,"anccond.01",0.205,41,200,"power"
500,0.5,3,"anccond.01",0.28,56,200,"power"
50,1,3,"anccond.01",0.11,22,200,"power"
100,1,3,"anccond.01",0.23,46,200,"power"
200,1,3,"anccond.01",0.295,59,200,"power"
500,1,3,"anccond.01",0.555,111,200,"power"
50,2,3,"anccond.01",0.145,29,200,"power"
100,2,3,"anccond.01",0.29,58,200,"power"
200,2,3,"anccond.01",0.45,90,200,"power"
500,2,3,"anccond.01",0.745,149,200,"power"
50,0.1,5,"anccond.01",0.0364583333333333,7,192,"power"
100,0.1,5,"anccond.01",0.0567010309278351,11,194,"power"
200,0.1,5,"anccond.01",0.0703517587939698,14,199,"power"
500,0.1,5,"anccond.01",0.09,18,200,"power"
50,0.5,5,"anccond.01",0.115,23,200,"power"
100,0.5,5,"anccond.01",0.16,32,200,"power"
200,0.5,5,"anccond.01",0.25,50,200,"power"
500,0.5,5,"anccond.01",0.475,95,200,"power"
50,1,5,"anccond.01",0.16,32,200,"power"
100,1,5,"anccond.01",0.335,67,200,"power"
200,1,5,"anccond.01",0.51,102,200,"power"
500,1,5,"anccond.01",0.82,164,200,"power"
50,2,5,"anccond.01",0.275,55,200,"power"
100,2,5,"anccond.01",0.48,96,200,"power"
200,2,5,"anccond.01",0.765,153,200,"power"
500,2,5,"anccond.01",0.97,194,200,"power"
