"alpha","delta.theta","sigma","FP.standard","FP.pruned","n.prunable","n.NA.std","mean.p.std","mean.p.pr"
0.5,2,1,0.0636461704422869,0.058252427184466,1000,73,0.477233977467051,0.473085591008701
2,2,1,0.141316073354908,0.160733549083064,1000,73,0.350002129785432,0.346121342531692
8,2,1,0.226537216828479,0.229773462783172,1000,73,0.291966461715925,0.302330324510603
0.5,4,1,0.0819848975188781,0.0819848975188781,1000,73,0.441783630187427,0.433807071702838
2,4,1,0.183387270765912,0.201725997842503,1000,73,0.311531896213957,0.309032399777877
8,4,1,0.223300970873786,0.228694714131607,1000,73,0.288194756937383,0.298464924094661
0.5,8,1,0.11866235167206,0.128371089536138,1000,73,0.375123690407342,0.367200638846661
2,8,1,0.184466019417476,0.199568500539374,1000,73,0.301627802371159,0.299387172103252
8,8,1,0.220064724919094,0.2319309600863,1000,73,0.287530660985533,0.297674481338009
