"n.tips","q01","q10","s","rep","p.ac01","p.ac10","p.plg","p.pgls","n.trans"
50,0.1,0.1,1,1,0.5625,0.885448916408669,0.999619946332327,0.831916325222505,3
50,0.1,0.1,1,2,0.188571428571429,0.185915492957746,0.271529293717041,0.450444512455866,2
50,0.1,0.1,1,3,0.351351351351351,0.348051948051948,0.999990383058532,0.319677743782479,2
50,0.1,0.1,1,4,0.78698224852071,0.708215297450425,0.998198285314523,0.44364695010654,3
50,0.1,0.1,1,5,0.779761904761905,0.501424501424501,0.999173438331079,0.0748072279929889,2
50,0.1,0.1,1,6,0.703030303030303,0.185758513931889,0.99953074467046,0.677591705081153,1
50,0.1,0.1,1,7,0.649717514124294,0.209912536443149,0.999685064856776,0.464271895119759,5
50,0.1,0.1,1,8,0.173076923076923,0.222222222222222,0.562723838868466,0.601551442843894,3
50,0.1,0.1,1,9,0.798850574712644,0.808139534883721,0.998863948444433,0.228339065288201,3
50,0.1,0.1,1,10,0.521212121212121,0.247838616714697,0.0674304421071568,0.752793467888437,4
50,0.1,0.1,1,11,0.881159420289855,0.741839762611276,0.219870502385066,0.190472421128104,4
50,0.1,0.1,1,12,0.903061224489796,0.829896907216495,0.992285610675698,0.219097816694813,3
50,0.1,0.1,1,13,0.633540372670807,0.108974358974359,0.999653788705649,0.326299650044301,3
50,0.1,0.1,1,14,0.798816568047337,0.476190476190476,0.999917698637926,0.235257524462992,2
50,0.1,0.1,1,15,0.654205607476635,0.0250783699059561,0.682314300196344,0.50446801077264,3
50,0.1,0.1,1,16,0.943181818181818,0.594285714285714,0.999886801288616,0.795798629458289,2
50,0.1,0.1,1,17,0.946107784431138,0.364705882352941,0.735218019015624,0.920508685831284,5
50,0.1,0.1,1,18,0.7217125382263,0.946428571428571,0.999324136764854,0.687289312029296,5
50,0.1,0.1,1,19,0.179856115107914,0.353790613718412,0.999895992735888,0.775269181811994,2
50,0.1,0.1,1,20,0.858156028368794,0.637992831541219,0.998496725765215,0.433634952815732,3
50,0.1,0.1,1,21,0.179930795847751,0.240282685512367,0.99927971943681,0.583867175348808,1
50,0.1,0.1,1,22,0.954128440366973,0.796561604584527,0.51701458851617,0.804057412783408,5
50,0.1,0.1,1,23,0.530259365994236,0.808139534883721,0.999908483985888,0.89902245960291,2
50,0.1,0.1,1,24,0.73936170212766,0.0911392405063291,0.998423538767822,0.430902036627117,6
50,0.1,0.1,1,25,0.709030100334448,0.794701986754967,0.999850037306341,0.931767887609719,2
50,0.1,0.1,1,26,0.869565217391304,0.408805031446541,0.999917833352715,0.157049101500271,2
50,0.1,0.1,1,27,0.865853658536585,0.790419161676647,0.754468846180194,0.913412115281268,4
50,0.1,0.1,1,28,0.942857142857143,0.968421052631579,0.978181930108335,0.770773489504669,2
50,0.1,0.1,1,29,0.505050505050505,NA,0.998475279506529,0.0624657872894893,1
50,0.1,0.1,1,30,0.352272727272727,0.68,0.590639786646233,0.372025063258838,3
50,0.1,0.1,1,31,0.298136645962733,0.115384615384615,0.2623187509149,0.238660755779908,3
