"n.tips","alpha","delta.th","rep","p.forward","p.std","p.pr","p.comb.std","p.comb.pr","p.phyloglm","prune.ok","sig_f","sig_std","sig_pr","sig_plg"
500,8,8,1,0.203531643409254,0.155688622754491,0.127744510978044,0.311377245508982,0.255489021956088,5.00449265880685e-08,TRUE,FALSE,FALSE,FALSE,TRUE
200,0.5,2,2,0.868144251319826,0.686626746506986,0.654690618762475,0.031936127744511,0.063872255489022,0.999180805259534,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,2,0.788827766608439,0.147704590818363,0.103792415169661,0.295409181636727,0.207584830339321,0.939728852875533,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,2,2,0.666985991789145,0.211576846307385,0.351297405189621,0.0798403193612774,0.111776447105788,0.0993669016274338,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,2,0.15632919598964,0.0479041916167665,0.0878243512974052,0.0958083832335329,0.17564870259481,0.998514985377805,TRUE,FALSE,TRUE,FALSE,FALSE
200,8,2,2,2.75166583965722e-05,0.93812375249501,0.818363273453094,0.031936127744511,0.0399201596806387,0.00253438248527882,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,2,2,2.61303695562826e-17,0.778443113772455,0.67065868263473,0.00798403193612774,0.0239520958083832,0.0038876698831192,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,4,2,0.882072168872424,0.183632734530938,0.187624750499002,0.367265469061876,0.375249500998004,0.999528712294573,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,4,2,0.20648222312403,0.383233532934132,0.339321357285429,0.766467065868264,0.678642714570858,0.976482455087216,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,2,0.893671156950318,0.0878243512974052,0.0878243512974052,0.17564870259481,0.17564870259481,0.999281492562101,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,4,2,0.959992881397058,0.0439121756487026,0.0159680638722555,0.0878243512974052,0.031936127744511,0.909364779111581,TRUE,FALSE,TRUE,TRUE,FALSE
200,8,4,2,2.24351954889128e-21,0.271457085828343,0.243512974051896,0.0878243512974052,0.111776447105788,1.93535426426916e-11,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,4,2,0.113667635027271,0.858283433133733,0.706586826347305,1,1,0.746498511753404,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,8,2,0.00606448078961108,0.308,0.228,0.616,0.456,0.99722307409439,TRUE,TRUE,FALSE,FALSE,FALSE
500,0.5,8,2,0.328368125139157,0.131736526946108,0.143712574850299,0.263473053892216,0.287425149700599,0.997255475354151,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,8,2,1.31634908766838e-07,0.323353293413174,0.271457085828343,0.359281437125749,0.287425149700599,2.67813955284618e-13,TRUE,TRUE,FALSE,FALSE,TRUE
500,2,8,2,0.32559129473736,0.0479041916167665,0.0479041916167665,0.0958083832335329,0.0958083832335329,8.00140319303096e-09,TRUE,FALSE,TRUE,TRUE,TRUE
200,8,8,2,0.259717019372909,0.283433133732535,0.275449101796407,0.56686626746507,0.550898203592814,0.0307169507578614,TRUE,FALSE,FALSE,FALSE,TRUE
500,8,8,2,0.121360426522243,0.139720558882236,0.187624750499002,0.279441117764471,0.375249500998004,3.27125460922191e-05,TRUE,FALSE,FALSE,FALSE,TRUE
200,0.5,2,3,0.972948904930558,0.171656686626747,0.135728542914172,0.343313373253493,0.271457085828343,0.999941208987137,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,3,0.0168831788762905,0.718562874251497,0.570858283433134,0.391217564870259,0.758483033932136,0.909801650302411,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,2,3,0.22659052957958,0.982035928143713,0.93812375249501,1,1,0.723127867576992,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,3,0.889149919627449,0.0918163672654691,0.107784431137725,0.183632734530938,0.215568862275449,0.873236954026616,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,2,3,0.322369274407478,NA,NA,0.0111111111111111,0.149732620320856,0.996252244013576,TRUE,FALSE,NA,NA,FALSE
500,8,2,3,0.0915576620211945,0.163672654690619,0.235528942115768,0.327345309381238,0.471057884231537,0.611234470259383,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,4,3,0.724811164294174,0.29718875502008,0.252,0.594377510040161,0.504,0.996545586238918,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,4,3,0.2853827967539,0.146341463414634,0.55,0.292682926829268,0.243697478991597,0.904625532148314,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,3,1.45898705493484e-07,0.02,0.012,0.04,0.024,1.40826451102966e-06,TRUE,TRUE,TRUE,TRUE,TRUE
500,2,4,3,0.882141549247706,0.231536926147705,0.183632734530938,0.463073852295409,0.367265469061876,0.997659255403616,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,4,3,0.0708329036298993,0.303393213572854,0.275449101796407,0.606786427145709,0.550898203592814,0.999218014023307,TRUE,FALSE,FALSE,FALSE,FALSE
500,8,4,3,0.919370627809691,0.786427145708583,0.746506986027944,1,1,0.997260751045327,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,8,3,0.333934550204556,0.712273641851107,0.8,1,1,0.997994507553746,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,8,3,0.733792760228977,0.307385229540918,0.31936127744511,0.327345309381238,0.447105788423154,0.778831201593768,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,8,3,0.0933996892249161,0.127744510978044,0.0878243512974052,0.255489021956088,0.17564870259481,0.000139471375612361,TRUE,FALSE,FALSE,FALSE,TRUE
500,2,8,3,7.40595955555904e-42,0.0480961923847695,0.00801603206412826,0.0961923847695391,0.0160320641282565,1.57598119930497e-11,TRUE,TRUE,TRUE,TRUE,TRUE
200,8,8,3,0.0391727835979766,0.239520958083832,0.203592814371257,0.431137724550898,0.191616766467066,8.34258281724632e-05,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,8,3,6.06739287389365e-52,0.0958083832335329,0.0758483033932136,0.0159680638722555,0.0159680638722555,5.45274544519733e-12,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,2,4,0.0857979996522395,0.391217564870259,0.359281437125749,0.782435129740519,0.718562874251497,0.997147398889085,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,4,0.947175780741526,0.746506986027944,0.674650698602794,1,1,0.982765365870741,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,2,4,0.767371466569984,0.630738522954092,0.614770459081836,1,1,0.998058938141699,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,4,0.95297190502303,0.0279441117764471,0.0279441117764471,0.0558882235528942,0.0558882235528942,0.770233729040923,TRUE,FALSE,TRUE,TRUE,FALSE
200,8,2,4,0.000246832148034287,0.622754491017964,0.578842315369261,0.103792415169661,0.207584830339321,0.0701945315976204,TRUE,TRUE,FALSE,FALSE,FALSE
500,8,2,4,1.8247635721154e-20,0.143712574850299,0.127744510978044,0.00798403193612774,0.00798403193612774,5.50115941334725e-14,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,4,4,0.418460312482266,0.399201596806387,0.363273453093812,0.798403193612774,0.726546906187625,0.444781043582666,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,4,4,0.667300472863011,0.606786427145709,0.518962075848303,0.351297405189621,0.311377245508982,0.670431625713304,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,4,0.84879994068023,0.455089820359281,0.403193612774451,0.846307385229541,0.678642714570858,0.999879824580285,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,4,4,0.217988746471002,0.0279441117764471,0.0159680638722555,0.0558882235528942,0.031936127744511,0.304482797891052,TRUE,FALSE,TRUE,TRUE,FALSE
200,8,4,4,5.7699505921469e-16,0.19560878243513,0.260521042084168,0.391217564870259,0.521042084168337,0.056584224102064,TRUE,TRUE,FALSE,FALSE,FALSE
500,8,4,4,5.51096096302875e-47,0.179640718562874,0.163672654690619,0.0399201596806387,0.0878243512974052,1.96695041194994e-16,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,8,4,0.0743350978820804,0.542914171656687,0.44311377245509,1,0.88622754491018,0.0016596226242412,TRUE,FALSE,FALSE,FALSE,TRUE
500,0.5,8,4,0.000352501435250546,0.790419161676647,0.798403193612774,1,1,0.221011968102984,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,8,4,0.977172153860418,0.227544910179641,0.303393213572854,0.455089820359281,0.606786427145709,0.087240177318115,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,8,4,0.0250200147217615,0.0199600798403194,0.0359281437125748,0.0399201596806387,0.0718562874251497,0.998134010001218,TRUE,TRUE,TRUE,TRUE,FALSE
200,8,8,4,0.235480865602269,0.211576846307385,0.167664670658683,0.42315369261477,0.335329341317365,0.999605305017322,TRUE,FALSE,FALSE,FALSE,FALSE
500,8,8,4,0.0267655075650857,0.0558882235528942,0.0359281437125748,0.111776447105788,0.0718562874251497,6.59277248402255e-11,TRUE,TRUE,FALSE,TRUE,TRUE
200,0.5,2,5,0.391651843509661,0.522954091816367,0.798403193612774,1,1,0.998411722030671,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,5,0.166000942658287,0.718562874251497,0.746506986027944,0.790419161676647,0.702594810379242,0.757557327603386,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,2,5,0.278304464998591,0.263473053892216,0.275449101796407,0.407185628742515,0.415169660678643,0.997338294469951,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,5,0.00158032134925013,0.93812375249501,0.914171656686627,0.854291417165669,0.942115768463074,0.788257635387248,TRUE,TRUE,FALSE,FALSE,FALSE
200,8,2,5,0.400104331642827,0.103792415169661,0.0518962075848303,0.207584830339321,0.103792415169661,0.998444113565747,TRUE,FALSE,FALSE,FALSE,FALSE
500,8,2,5,4.61812381283571e-22,0.144,0.13627254509018,0.288,0.272545090180361,0.000196298549804895,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,4,5,0.499461342742931,NA,NA,0.0615384615384615,0.05,0.834776457691175,TRUE,FALSE,NA,NA,FALSE
500,0.5,4,5,0.165023599109727,0.367265469061876,0.407185628742515,0.455089820359281,0.574850299401198,0.995344623288997,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,5,0.966535835737768,0.564,0.566265060240964,1,1,0.927317884902197,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,4,5,0.236177979919156,0.459081836327345,0.514970059880239,0.918163672654691,1,0.99899879681018,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,4,5,1.90016097904769e-17,0.012,0.0119760479041916,0.024,0.0239520958083832,0.000629923329987441,TRUE,TRUE,TRUE,TRUE,TRUE
500,8,4,5,1.9955221530269e-32,0.918163672654691,0.99001996007984,0.0239520958083832,0.031936127744511,1.81203215361902e-26,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,8,5,0.260859531222038,0.0878243512974052,0.0878243512974052,0.17564870259481,0.17564870259481,0.315018317504026,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,8,5,0.00503073620406097,0.187624750499002,0.191616766467066,0.375249500998004,0.383233532934132,0.276815939870107,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,8,5,1.22655698601393e-19,0.127744510978044,0.0522088353413655,0.255489021956088,0.104417670682731,2.51099515423697e-12,TRUE,TRUE,FALSE,FALSE,TRUE
500,2,8,5,0.206697311119696,0.838323353293413,0.826347305389222,0.758483033932136,0.822355289421158,0.999491938846878,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,8,5,0.885858930258696,NA,NA,0.0388349514563107,0.0824742268041237,0.0292732106727132,TRUE,FALSE,NA,NA,TRUE
500,8,8,5,0.75740826380386,0.0998003992015968,0.139720558882236,0.199600798403194,0.279441117764471,0.0113928618183139,TRUE,FALSE,FALSE,FALSE,TRUE
200,0.5,2,6,0.285900086614358,0.139720558882236,0.163672654690619,0.279441117764471,0.327345309381238,0.999626873637749,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,6,0.0389883696141895,0.467065868263473,0.491017964071856,0.167664670658683,0.207584830339321,0.970693292412131,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,2,6,0.801995121281823,0.143712574850299,0.135728542914172,0.287425149700599,0.271457085828343,0.997075284028269,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,6,0.550521950455925,0.658682634730539,0.598802395209581,1,1,0.992504039632289,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,2,6,0.662171090608277,0.031936127744511,0.0359281437125748,0.063872255489022,0.0718562874251497,0.25919931366711,TRUE,FALSE,TRUE,TRUE,FALSE
500,8,2,6,0.0630747819003808,0.135728542914172,0.119760479041916,0.271457085828343,0.239520958083832,0.954091707236404,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,4,6,0.0197324524470263,0.451097804391218,0.439121756487026,0.287425149700599,0.223552894211577,0.530542383550362,TRUE,TRUE,FALSE,FALSE,FALSE
500,0.5,4,6,0.802958593302372,0.0838323353293413,0.0479041916167665,0.167664670658683,0.0958083832335329,0.629611931114933,TRUE,FALSE,FALSE,TRUE,FALSE
200,2,4,6,0.0557490661475966,0.63872255489022,0.802395209580838,0.415169660678643,0.255489021956088,0.973533204759421,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,4,6,6.80011469274533e-07,0.287425149700599,0.275449101796407,0.0239520958083832,0.0239520958083832,5.64778192732921e-17,TRUE,TRUE,FALSE,FALSE,TRUE
200,8,4,6,0.639695777498388,0.502994011976048,0.467065868263473,0.0958083832335329,0.0399201596806387,0.00457605536285615,TRUE,FALSE,FALSE,FALSE,TRUE
500,8,4,6,0.574286660037253,0.890219560878243,0.970059880239521,1,1,0.608917605562746,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,8,6,0.7549486725622,0.98,0.605210420841683,1,1,0.988648747692067,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,8,6,2.76886605099375e-07,0.538922155688623,0.471057884231537,0.239520958083832,0.231536926147705,0.993796052074447,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,8,6,9.31043213168057e-11,0.307385229540918,0.327345309381238,0.199600798403194,0.231536926147705,4.91167537580886e-06,TRUE,TRUE,FALSE,FALSE,TRUE
500,2,8,6,5.03995212643641e-11,0.81437125748503,0.86626746506986,1,1,1,TRUE,TRUE,FALSE,FALSE,FALSE
200,8,8,6,0.814807443275532,0.0159680638722555,0.031936127744511,0.031936127744511,0.063872255489022,0.768011184949913,TRUE,FALSE,TRUE,TRUE,FALSE
500,8,8,6,4.2433278985853e-62,0.0758483033932136,0.0718562874251497,0.0479041916167665,0.103792415169661,4.02978841077111e-21,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,2,7,0.0741218723698486,0.827309236947791,0.857715430861723,1,1,0.999091804337885,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,7,0.920990551465752,0.502994011976048,0.530938123752495,0.630738522954092,0.750499001996008,0.999809479368469,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,2,7,0.959379539506757,0.119760479041916,0.131736526946108,0.239520958083832,0.263473053892216,0.999176252104978,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,7,0.00308265814844332,0.906187624750499,0.379241516966068,1,0.758483033932136,0.999141823580381,TRUE,TRUE,FALSE,FALSE,FALSE
200,8,2,7,0.000772350210425723,0.17564870259481,0.136,0.351297405189621,0.272,0.00281467964546505,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,2,7,0.26432425552766,0.467065868263473,0.610778443113772,0.934131736526946,1,0.999201866330549,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,4,7,0.00271509402319254,NA,NA,0.0682302771855011,0.0262008733624454,0.0882288927237243,TRUE,TRUE,NA,NA,FALSE
500,0.5,4,7,0.131952136554727,0.502994011976048,0.502994011976048,1,1,0.849190706884675,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,7,0.588408867305387,NA,NA,0.0196078431372549,0.0184331797235023,0.635019051216242,TRUE,FALSE,NA,NA,FALSE
500,2,4,7,0.693438731011388,0.0159680638722555,0.0159680638722555,0.031936127744511,0.031936127744511,0.681456589882913,TRUE,FALSE,TRUE,TRUE,FALSE
200,8,4,7,0.332945681856647,0.42315369261477,0.339321357285429,0.846307385229541,0.678642714570858,0.999454322790722,TRUE,FALSE,FALSE,FALSE,FALSE
500,8,4,7,0.019989163004084,0.351297405189621,0.447105788423154,0.702594810379242,0.798403193612774,0.998898785928361,TRUE,TRUE,FALSE,FALSE,FALSE
200,0.5,8,7,0.940215424925638,0.251497005988024,0.12375249500998,0.502994011976048,0.24750499001996,0.535375695499156,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,8,7,0.788675356754507,0.926147704590818,0.934131736526946,1,1,0.84461954486312,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,8,7,3.78481049160915e-11,0.786427145708583,0.962075848303393,0.311377245508982,0.215568862275449,2.72162622975071e-11,TRUE,TRUE,FALSE,FALSE,TRUE
500,2,8,7,0.480386268193236,0.335329341317365,0.395209580838323,0.67065868263473,0.790419161676647,0.9976684789697,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,8,7,1.38091796791926e-07,0.626746506986028,0.694610778443114,0.295409181636727,0.343313373253493,0.0198508509005163,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,8,7,0.74329848833089,0.0479041916167665,0.0359281437125748,0.0958083832335329,0.0718562874251497,0.992016866762859,TRUE,FALSE,TRUE,TRUE,FALSE
200,0.5,2,8,0.953986697193465,NA,NA,0.363636363636364,0.210526315789474,0.947772096644755,TRUE,FALSE,NA,NA,FALSE
500,0.5,2,8,0.373875345874586,0.287425149700599,0.29940119760479,0.111776447105788,0.111776447105788,0.833976307875996,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,2,8,0.349484983549488,0.063872255489022,0.0479041916167665,0.127744510978044,0.0958083832335329,0.997756309045588,TRUE,FALSE,FALSE,TRUE,FALSE
500,2,2,8,0.195395687224964,0.922155688622755,0.862275449101796,1,1,0.988626265713161,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,2,8,1.04441377330825e-10,0.0159680638722555,0.0160320641282565,0.031936127744511,0.032064128256513,0.0143531006100727,TRUE,TRUE,TRUE,TRUE,TRUE
500,8,2,8,8.27049231754913e-22,0.155688622754491,0.131736526946108,0.119760479041916,0.263473053892216,0.00151815561253539,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,4,8,0.303769076447943,0.0558882235528942,0.143712574850299,0.111776447105788,0.287425149700599,0.971268346535464,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,4,8,0.000113170523007214,0.223552894211577,0.263473053892216,0.447105788423154,0.526946107784431,0.992677082945168,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,4,8,2.10908651001192e-05,0.0240480961923848,0.0160642570281124,0.0480961923847695,0.0321285140562249,1.52536041105492e-09,TRUE,TRUE,TRUE,TRUE,TRUE
500,2,4,8,1.91510239891657e-11,0.67065868263473,0.654690618762475,0.127744510978044,0.0878243512974052,4.53292603970183e-21,TRUE,TRUE,FALSE,FALSE,TRUE
200,8,4,8,0.719507778902571,0.914171656686627,0.88622754491018,1,1,0.439631405757238,TRUE,FALSE,FALSE,FALSE,FALSE
500,8,4,8,1.63703598154327e-32,0.219560878243513,0.239520958083832,0.0239520958083832,0.0159680638722555,1.92293733691777e-13,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,8,8,0.019920840939911,0.694610778443114,0.804,1,1,0.998760619364149,TRUE,TRUE,FALSE,FALSE,FALSE
500,0.5,8,8,8.60921444564618e-06,0.726546906187625,0.726546906187625,0.0798403193612774,0.0479041916167665,7.71901305783047e-09,TRUE,TRUE,FALSE,FALSE,TRUE
200,2,8,8,0.736527224902926,0.119760479041916,0.0878243512974052,0.239520958083832,0.17564870259481,0.404089013752765,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,8,8,0.107678867315009,0.231536926147705,0.167664670658683,0.463073852295409,0.335329341317365,0.715099460052433,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,8,8,2.88007959163194e-40,0.0998003992015968,0.0558882235528942,0.199600798403194,0.111776447105788,0.000351182680136957,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,8,8,0.860175848207703,0.502994011976048,0.554890219560878,1,1,0.998283934905467,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,2,9,0.340884950118389,0.717434869739479,0.782435129740519,1,1,0.995860904523491,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,9,0.763938878415144,0.0479041916167665,0.0479041916167665,0.0958083832335329,0.0958083832335329,0.907293072534926,TRUE,FALSE,TRUE,TRUE,FALSE
200,2,2,9,0.2090541508406,NA,NA,0.0676532769556025,0.0682302771855011,0.98622356402337,TRUE,FALSE,NA,NA,FALSE
500,2,2,9,0.422807687356825,0.00798403193612774,0.0279441117764471,0.0159680638722555,0.0558882235528942,0.98352286409445,TRUE,FALSE,TRUE,TRUE,FALSE
200,8,2,9,0.00538233039795988,0.822355289421158,0.978043912175649,1,1,0.999717482824947,TRUE,TRUE,FALSE,FALSE,FALSE
500,8,2,9,0.00146014390199838,0.0159680638722555,0.0239520958083832,0.031936127744511,0.0479041916167665,0.0045110735094959,TRUE,TRUE,TRUE,TRUE,TRUE
200,0.5,4,9,0.139587798484588,0.196,0.143712574850299,0.392,0.287425149700599,0.0109866676046342,TRUE,FALSE,FALSE,FALSE,TRUE
500,0.5,4,9,0.0417839058723134,0.678714859437751,0.718562874251497,1,1,0.998476285785808,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,4,9,0.123557501160548,NA,NA,0.0256410256410256,0.021505376344086,0.957238363270287,TRUE,FALSE,NA,NA,FALSE
500,2,4,9,0.0584390441036481,0.267465069860279,0.231536926147705,0.518962075848303,0.463073852295409,0.638451551304685,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,4,9,1.06118288735913e-20,0.223552894211577,0.183632734530938,0.0239520958083832,0.0159680638722555,8.22676235771126e-07,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,4,9,1.42566784116221e-32,0.347305389221557,0.375249500998004,0.0479041916167665,0.0479041916167665,0.0043856873000731,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,8,9,0.617143801125005,NA,NA,0.86128364389234,0.0655737704918033,0.999843395671342,TRUE,FALSE,NA,NA,FALSE
500,0.5,8,9,0.000146598944471036,0.946107784431138,0.946107784431138,0.167664670658683,0.199600798403194,0.000180023487428263,TRUE,TRUE,FALSE,FALSE,TRUE
200,2,8,9,0.937832730703042,0.63872255489022,0.578842315369261,0.231536926147705,0.271457085828343,0.850801749815408,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,8,9,3.7049709476105e-24,0.0558882235528942,0.0399201596806387,0.111776447105788,0.0798403193612774,5.93074900470489e-13,TRUE,TRUE,FALSE,TRUE,TRUE
200,8,8,9,0.493955549073785,0.0998003992015968,0.0798403193612774,0.199600798403194,0.159680638722555,0.997267644902889,TRUE,FALSE,FALSE,FALSE,FALSE
500,8,8,9,0.200282489090606,0.031936127744511,0.0239520958083832,0.063872255489022,0.0479041916167665,3.94543670942498e-06,TRUE,FALSE,TRUE,TRUE,TRUE
200,0.5,2,10,0.423412196745265,0.42315369261477,0.471057884231537,0.846307385229541,0.942115768463074,0.799269674863418,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,10,0.00558898090702077,0.510978043912176,0.582834331337325,0.199600798403194,0.295409181636727,0.995968062092228,TRUE,TRUE,FALSE,FALSE,FALSE
200,2,2,10,0.714373081798483,0.769539078156313,0.777555110220441,1,1,0.996111024000871,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,10,0.217331331461321,0.622754491017964,0.694610778443114,1,1,0.731328738755345,TRUE,FALSE,FALSE,FALSE,FALSE
200,8,2,10,4.00019767093658e-08,0.00798403193612774,0.00798403193612774,0.0159680638722555,0.0159680638722555,1.73861350018884e-05,TRUE,TRUE,TRUE,TRUE,TRUE
500,8,2,10,2.14091683255588e-19,0.81437125748503,0.822355289421158,0.111776447105788,0.103792415169661,0.00411197654834737,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,4,10,0.0220041219803818,0.387225548902196,0.375249500998004,0.063872255489022,0.031936127744511,0.0623091844408734,TRUE,TRUE,FALSE,FALSE,FALSE
500,0.5,4,10,0.314720301853763,0.359281437125749,0.411177644710579,0.718562874251497,0.782435129740519,0.996902675744666,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,10,0.0291177303033213,0.818363273453094,0.942115768463074,1,1,0.998444907961993,TRUE,TRUE,FALSE,FALSE,FALSE
