"n.tips","alpha","delta.th","rep","p.forward","p.std","p.pr","p.comb.std","p.comb.pr","p.phyloglm","prune.ok","sig_f","sig_std","sig_pr","sig_plg"
200,0.5,2,1,0.115678703459975,0.922155688622755,0.99001996007984,1,0.806387225548902,0.788718176847718,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,2,1,0.6610977852142,0.630738522954092,0.658682634730539,1,1,0.999761253968286,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,2,1,0.162924509157014,0.578842315369261,0.526946107784431,0.710578842315369,0.606786427145709,0.7476497619974,TRUE,FALSE,FALSE,FALSE,FALSE
500,2,2,1,0.00544666583507038,0.467065868263473,0.379241516966068,0.463073852295409,0.487025948103792,0.997623449522298,TRUE,TRUE,FALSE,FALSE,FALSE
200,8,2,1,0.000168926285584694,0.031936127744511,0.0119760479041916,0.063872255489022,0.0239520958083832,6.88720231427856e-09,TRUE,TRUE,TRUE,TRUE,TRUE
500,8,2,1,4.44043674479836e-14,0.870259481037924,0.870259481037924,0.143712574850299,0.127744510978044,9.66658793832938e-05,TRUE,TRUE,FALSE,FALSE,TRUE
200,0.5,4,1,0.310613147223714,0.67065868263473,0.74251497005988,1,1,0.43066518472603,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,4,1,0.49803965031528,0.950099800399202,0.930139720558882,1,1,0.980928523864385,TRUE,FALSE,FALSE,FALSE,FALSE
200,2,4,1,3.49797286164227e-09,0.794411177644711,0.646706586826347,0.231536926147705,0.383233532934132,5.56090029374582e-12,TRUE,TRUE,FALSE,FALSE,TRUE
500,2,4,1,5.24381763924318e-16,0.31936127744511,0.407185628742515,0.0399201596806387,0.0558882235528942,2.9079383867358e-08,TRUE,TRUE,FALSE,FALSE,TRUE
200,8,4,1,9.34633756381479e-14,0.590818363273453,0.558882235528942,0.183632734530938,0.191616766467066,0.000306181298824933,TRUE,TRUE,FALSE,FALSE,TRUE
500,8,4,1,0.454061257840375,0.554890219560878,0.550898203592814,0.678642714570858,0.686626746506986,0.998676468818677,TRUE,FALSE,FALSE,FALSE,FALSE
200,0.5,8,1,0.43604347400192,0.646706586826347,0.562874251497006,1,1,0.9999818062808,TRUE,FALSE,FALSE,FALSE,FALSE
500,0.5,8,1,4.75379753314737e-09,0.159680638722555,0.159680638722555,0.263473053892216,0.231536926147705,4.79185278378886e-09,TRUE,TRUE,FALSE,FALSE,TRUE
200,2,8,1,1.43546461971205e-14,0.319191919191919,0.288577154308617,0.638383838383838,0.577154308617234,5.19591493687701e-07,TRUE,TRUE,FALSE,FALSE,TRUE
500,2,8,1,7.89082573872066e-25,0.251497005988024,0.251497005988024,0.00798403193612774,0.00798403193612774,4.80077708946183e-16,TRUE,TRUE,FALSE,FALSE,TRUE
200,8,8,1,3.66130790491841e-10,0.287425149700599,0.179640718562874,0.574850299401198,0.359281437125749,0.0236347506578996,TRUE,TRUE,FALSE,FALSE,TRUE
